date,1y-fixed-posted,2y-bond,3y-bond,3y-fixed-posted,5y-bond,5y-fixed-posted,7y-bond,10y-bond,bank,overnight,overnight-target,prime
2018-11-14,,,,,,,,,2,,,
2018-11-13,,,,,,,,,2,,1.75,
2018-11-12,,,,,,,,,2,,1.75,
2018-11-09,,2.33,2.35,,2.43,,2.46,2.5,2,,1.75,
2018-11-08,,2.36,2.37,,2.46,,2.48,2.54,2,1.7452,1.75,
2018-11-07,3.64,2.35,2.36,4.29,2.44,5.34,2.47,2.52,2,1.7464,1.75,3.95
2018-11-06,,2.35,2.37,,2.45,,2.47,2.53,2,1.7473,1.75,
2018-11-05,,2.34,2.36,,2.43,,2.46,2.52,2,1.7466,1.75,
2018-11-02,,2.35,2.36,,2.44,,2.47,2.53,2,1.7439,1.75,
2018-11-01,,2.32,2.33,,2.41,,2.43,2.48,2,1.7507,1.75,
2018-10-31,3.64,2.33,2.34,4.29,2.42,5.34,2.45,2.49,2,1.7473,1.75,3.95
2018-10-30,,2.3,2.3,,2.38,,2.4,2.44,2,1.7454,1.75,
2018-10-29,,2.26,2.26,,2.33,,2.35,2.39,2,1.7455,1.75,
2018-10-26,,2.26,2.27,,2.34,,2.36,2.39,2,1.7475,1.75,
2018-10-25,,2.31,2.32,,2.4,,2.42,2.45,2,1.7527,1.75,
2018-10-24,3.64,2.3,2.3,4.29,2.38,5.34,2.4,2.43,2,1.7493,1.75,3.7
2018-10-23,,2.27,2.28,,2.37,,2.4,2.45,1.75,1.4983,1.5,
2018-10-22,,2.29,2.3,,2.4,,2.42,2.48,1.75,1.498,1.5,
2018-10-19,,2.29,2.31,,2.4,,2.43,2.49,1.75,1.498,1.5,
2018-10-18,,2.31,2.33,,2.4,,2.43,2.49,1.75,1.4971,1.5,
2018-10-17,3.64,2.31,2.32,4.29,2.41,5.34,2.44,2.51,1.75,1.4993,1.5,3.7
2018-10-16,,2.3,2.32,,2.4,,2.43,2.49,1.75,1.4963,1.5,
2018-10-15,,2.3,2.31,,2.4,,2.43,2.5,1.75,1.4984,1.5,
2018-10-12,,2.27,2.28,,2.38,,2.41,2.49,1.75,1.4973,1.5,
2018-10-11,,2.27,2.28,,2.38,,2.41,2.49,1.75,1.4987,1.5,
2018-10-10,3.49,2.29,2.32,4.29,2.43,5.34,2.46,2.55,1.75,1.4986,1.5,3.7
2018-10-09,,2.31,2.34,,2.45,,2.48,2.57,1.75,1.4951,1.5,
2018-10-08,,,,,,,,,1.75,,1.5,
2018-10-05,,2.32,2.35,,2.48,,2.51,2.6,1.75,1.4989,1.5,
2018-10-04,,2.3,2.33,,2.46,,2.48,2.55,1.75,1.4993,1.5,
2018-10-03,3.49,2.3,2.32,4.3,2.43,5.34,2.46,2.53,1.75,1.4917,1.5,3.7
2018-10-02,,2.27,2.29,,2.39,,2.41,2.46,1.75,1.4981,1.5,
2018-10-01,,2.29,2.31,,2.42,,2.44,2.51,1.75,1.4961,1.5,
2018-09-28,,2.21,2.24,,2.33,,2.36,2.42,1.75,1.4961,1.5,
2018-09-27,,2.19,2.22,,2.32,,2.35,2.41,1.75,1.4997,1.5,
2018-09-26,3.49,2.19,2.22,4.3,2.32,5.34,2.35,2.42,1.75,1.498,1.5,3.7
2018-09-25,,2.2,2.23,,2.35,,2.38,2.46,1.75,1.4992,1.5,
2018-09-24,,2.19,2.22,,2.34,,2.37,2.44,1.75,1.4984,1.5,
2018-09-21,,2.18,2.21,,2.33,,2.35,2.43,1.75,1.4977,1.5,
2018-09-20,,2.18,2.21,,2.32,,2.35,2.42,1.75,1.4965,1.5,
2018-09-19,3.49,2.17,2.19,4.3,2.3,5.34,2.33,2.42,1.75,1.4958,1.5,3.7
2018-09-18,,2.15,2.17,,2.28,,2.31,2.38,1.75,1.4985,1.5,
2018-09-17,,2.13,2.15,,2.25,,2.27,2.34,1.75,1.4956,1.5,
2018-09-14,,2.13,2.16,,2.26,,2.28,2.34,1.75,1.4976,1.5,
2018-09-13,,2.14,2.16,,2.25,,2.27,2.32,1.75,1.495,1.5,
2018-09-12,3.49,2.14,2.16,4.3,2.25,5.34,2.27,2.33,1.75,1.4947,1.5,3.7
2018-09-11,,2.13,2.15,,2.24,,2.26,2.32,1.75,1.4985,1.5,
2018-09-10,,2.11,2.13,,2.21,,2.23,2.28,1.75,1.4983,1.5,
2018-09-07,,2.11,2.13,,2.21,,2.23,2.29,1.75,1.4984,1.5,
2018-09-06,,2.06,2.08,,2.16,,2.18,2.23,1.75,1.4898,1.5,
2018-09-05,3.49,2.05,2.07,4.3,2.16,5.34,2.17,2.24,1.75,1.4935,1.5,3.7
2018-09-04,,2.05,2.07,,2.16,,2.17,2.23,1.75,1.4915,1.5,
2018-09-03,,,,,,,,,1.75,,1.5,
2018-08-31,,2.06,2.09,,2.16,,2.17,2.22,1.75,1.4987,1.5,
2018-08-30,,2.11,2.13,,2.21,,2.22,2.28,1.75,1.4768,1.5,
2018-08-29,3.49,2.14,2.16,4.3,2.25,5.34,2.26,2.32,1.75,1.4798,1.5,3.7
2018-08-28,,2.14,2.16,,2.25,,2.26,2.31,1.75,1.4992,1.5,
2018-08-27,,2.14,2.16,,2.23,,2.24,2.29,1.75,1.4984,1.5,
2018-08-24,,2.13,2.15,,2.21,,2.22,2.26,1.75,1.499,1.5,
2018-08-23,,2.12,2.14,,2.19,,2.21,2.25,1.75,1.4981,1.5,
2018-08-22,3.49,2.11,2.13,4.3,2.18,5.34,2.21,2.25,1.75,1.4953,1.5,3.7
2018-08-21,,2.1,2.12,,2.18,,2.22,2.26,1.75,1.4947,1.5,
2018-08-20,,2.1,2.12,,2.18,,2.21,2.25,1.75,1.4981,1.5,
2018-08-17,,2.11,2.13,,2.19,,2.23,2.26,1.75,1.4984,1.5,
2018-08-16,,2.08,2.1,,2.18,,2.22,2.25,1.75,1.4982,1.5,
2018-08-15,3.49,2.09,2.11,4.3,2.19,5.34,2.23,2.27,1.75,1.4977,1.5,3.7
2018-08-14,,2.12,2.15,,2.23,,2.27,2.31,1.75,1.4968,1.5,
2018-08-13,,2.11,2.14,,2.22,,2.26,2.3,1.75,1.4975,1.5,
2018-08-10,,2.1,2.13,,2.21,,2.25,2.29,1.75,1.4988,1.5,
2018-08-09,,2.11,2.15,,2.24,,2.29,2.33,1.75,1.4993,1.5,
2018-08-08,3.49,2.13,2.16,4.3,2.26,5.34,2.31,2.36,1.75,1.4917,1.5,3.7
2018-08-07,,2.13,2.16,,2.27,,2.32,2.37,1.75,1.4975,1.5,
2018-08-06,,,,,,,,,1.75,,1.5,
2018-08-03,,2.09,2.13,,2.25,,2.3,2.35,1.75,1.4981,1.5,
2018-08-02,,2.08,2.12,,2.25,,2.29,2.36,1.75,1.4881,1.5,
2018-08-01,3.49,2.08,2.12,4.3,2.25,5.34,2.3,2.36,1.75,1.4989,1.5,3.7
2018-07-31,,2.07,2.1,,2.22,,2.26,2.31,1.75,1.4984,1.5,
2018-07-30,,2.05,2.09,,2.19,,2.24,2.3,1.75,1.5038,1.5,
2018-07-27,,2.06,2.1,,2.2,,2.24,2.29,1.75,1.507,1.5,
2018-07-26,,2.05,2.09,,2.19,,2.23,2.28,1.75,1.5015,1.5,
2018-07-25,3.49,2.05,2.09,4.3,2.19,5.34,2.23,2.28,1.75,1.4978,1.5,3.7
2018-07-24,,2,2.04,,2.13,,2.17,2.22,1.75,1.4957,1.5,
2018-07-23,,2,2.03,,2.12,,2.16,2.23,1.75,1.4965,1.5,
2018-07-20,,1.97,1.99,,2.08,,2.12,2.18,1.75,1.492,1.5,
2018-07-19,,1.93,1.95,,2.02,,2.06,2.11,1.75,1.4973,1.5,
2018-07-18,3.49,1.93,1.98,4.3,2.05,5.34,2.09,2.14,1.75,1.4756,1.5,3.7
2018-07-17,,1.92,1.97,,2.04,,2.08,2.12,1.75,1.4823,1.5,
2018-07-16,,1.93,1.99,,2.05,,2.09,2.14,1.75,1.4966,1.5,
2018-07-13,,1.92,1.98,,2.05,,2.09,2.14,1.75,1.498,1.5,
2018-07-12,,1.94,2,,2.07,,2.11,2.16,1.75,1.4967,1.5,
2018-07-11,3.49,1.95,2,4.3,2.07,5.34,2.11,2.14,1.75,1.4957,1.5,3.7
2018-07-10,,1.94,1.99,,2.07,,2.11,2.16,1.5,1.2474,1.25,
2018-07-09,,1.94,2,,2.08,,2.12,2.16,1.5,1.248,1.25,
2018-07-06,,1.91,1.96,,2.04,,2.09,2.13,1.5,1.2473,1.25,
2018-07-05,,1.91,1.97,,2.06,,2.1,2.14,1.5,1.2455,1.25,
2018-07-04,3.49,1.91,1.97,4.3,2.06,5.34,2.11,2.16,1.5,1.2453,1.25,3.45
2018-07-03,,1.89,1.96,,2.04,,2.09,2.14,1.5,1.2485,1.25,
2018-07-02,,,,,,,,,1.5,,1.25,
2018-06-29,,1.91,1.98,,2.06,,2.12,2.17,1.5,1.2504,1.25,
2018-06-28,,1.85,1.91,,2.01,,2.06,2.13,1.5,1.2477,1.25,
2018-06-27,3.49,1.77,1.84,4.3,1.93,5.34,1.98,2.06,1.5,1.244,1.25,3.45
2018-06-26,,1.8,1.87,,1.97,,2.02,2.1,1.5,1.2463,1.25,
2018-06-25,,1.77,1.85,,1.95,,2.01,2.09,1.5,1.2486,1.25,
2018-06-22,,1.79,1.87,,1.98,,2.04,2.12,1.5,1.2459,1.25,
2018-06-21,,1.82,1.9,,2,,2.05,2.14,1.5,1.2483,1.25,
2018-06-20,3.49,1.85,1.92,4.3,2.03,5.34,2.09,2.18,1.5,1.2466,1.25,3.45
2018-06-19,,1.84,1.91,,2.02,,2.08,2.15,1.5,1.2486,1.25,
2018-06-18,,1.87,1.94,,2.06,,2.11,2.2,1.5,1.2476,1.25,
2018-06-15,,1.89,1.97,,2.08,,2.14,2.22,1.5,1.2512,1.25,
2018-06-14,,1.93,2.01,,2.14,,2.19,2.27,1.5,1.2478,1.25,
2018-06-13,3.49,1.94,2.03,4.3,2.17,5.34,2.23,2.32,1.5,1.2466,1.25,3.45
2018-06-12,,1.9,1.99,,2.14,,2.19,2.3,1.5,1.2516,1.25,
2018-06-11,,1.9,1.99,,2.14,,2.2,2.31,1.5,1.2452,1.25,
2018-06-08,,1.92,2,,2.15,,2.21,2.31,1.5,1.2381,1.25,
2018-06-07,,1.9,1.99,,2.13,,2.18,2.27,1.5,1.2477,1.25,
2018-06-06,3.49,1.94,2.02,4.3,2.16,5.34,2.21,2.3,1.5,1.2479,1.25,3.45
2018-06-05,,1.91,1.99,,2.11,,2.17,2.24,1.5,1.2524,1.25,
2018-06-04,,1.93,2.01,,2.14,,2.2,2.27,1.5,1.2528,1.25,
2018-06-01,,1.92,2,,2.11,,2.16,2.24,1.5,1.2548,1.25,
2018-05-31,,1.9,1.99,,2.1,,2.16,2.23,1.5,1.2421,1.25,
2018-05-30,3.49,1.92,2.01,4.3,2.11,5.34,2.18,2.25,1.5,1.2466,1.25,3.45
2018-05-29,,1.84,1.93,,2.03,,2.1,2.19,1.5,1.2481,1.25,
