"Station Name","EDMONTON AB RESEARCH PARK"
"Province","ALBERTA"
"Latitude","53.45"
"Longitude","-113.48"
"Elevation","694.20"
"Climate Identifier","3012235"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-11","2004","11","","","","","","","","","","","0.0","","1.0","","1.0","","0","",,"",,""
"2004-12","2004","12","","","","","","","","","","","0.0","","19.0","","19.0","","21","",,"",,""
"2005-01","2005","01","","","","","","","","","","","0.0","T","6.5","","6.5","","20","",,"",,""
"2005-02","2005","02","","","","","","","","","","","0.0","","11.8","","11.8","","22","",,"",,""
"2005-03","2005","03","","","","","","","","","","","0.0","T","26.5","","26.5","","8","",,"",,""
"2005-04","2005","04","","","","","","","","","","","","","","","","","","",,"",,""
"2005-05","2005","05","","","","","","","","","","","","","","","","","","",,"",,""
"2005-06","2005","06","","","","","","","","","","","","","","","","","","",,"",,""
"2005-07","2005","07","","","","","","","","","","","","","","","","","","",,"",,""
"2005-08","2005","08","","","","","","","","","","","","","","","","","","",,"",,""
"2005-09","2005","09","","","","","","","","","","","","","","","","","","",,"",,""
"2005-10","2005","10","","","","","","","","","","","","","","","","","","",,"",,""
"2005-11","2005","11","","","","","","","","","","","","","","","","","","",,"",,""
"2005-12","2005","12","","","","","","","","","","","","","","","","","","",,"",,""
"2006-01","2006","01","","","","","","","","","","","0.0","","1.0","","1.0","","","M",,"",,""
"2006-02","2006","02","","","","","","","","","","","","","","","","","","",,"",,""
"2006-03","2006","03","","","","","","","","","","","0.0","","20.0","","20.0","","","M",,"",,""
"2006-04","2006","04","","","","","","","","","","","0.0","T","0.0","","0.0","T","","M",,"",,""
