Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1965-01,1965,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1965-02,1965,2,5,,0.8,,2.9,,11.1,,-2.2,,348.7,,14.5,,363.2,,0,,,,,
1965-03,1965,3,9.4,,2.5,,6,,17.2,,-3.3,S,58.7,,7.1,,65.8,,0,,,,,
1965-04,1965,4,11.4,,5.1,,8.3,,20,,1.1,,89.9,,0,T,89.9,,0,,,,,
1965-05,1965,5,13.5,,6.4,,10,,21.1,,0,,94.2,,0,T,94.2,,0,,,,,
1965-06,1965,6,18.8,,10.4,,14.6,,26.7,,6.7,,13.5,,0,,13.5,,0,,,,,
1965-07,1965,7,22.3,,13.9,,18.1,,33.3,,8.9,S,18.8,,0,,18.8,,0,,,,,
1965-08,1965,8,20.4,,13,,16.7,,33.9,,7.8,,72.4,,0,,72.4,,0,,,,,
1965-09,1965,9,17.1,,10,,13.6,,22.2,S,6.1,,18.5,,0,,18.5,,0,,,,,
1965-10,1965,10,14.7,,9.1,,11.9,,21.1,,4.4,,288,,0,,288,,0,,,,,
1965-11,1965,11,9.1,,5,,7.1,,15.6,,0.6,S,231.4,,0,,231.4,,0,,,,,
1965-12,1965,12,4.2,,0.7,,2.5,,10.6,,-5,S,182.6,,68.6,,251.2,,53,,,,,
1966-01,1966,1,4.2,,0.2,,2.2,,10.6,,-5.6,,,M,,M,279.4,E,0,,,,,
1966-02,1966,2,6.1,,1.6,,3.9,,14.4,,-2.2,,129.3,,22.6,,151.9,,,M,,,,
1966-03,1966,3,8.2,,2.3,,5.3,,16.7,,-2.2,S,140.2,,15.2,E,152.4,E,0,,,,,
1966-04,1966,4,11.8,,4.7,,8.3,,18.9,,-3.3,,79.5,,1.3,,80.8,,0,,,,,
1966-05,1966,5,15.5,,7.1,,11.3,,25,,2.8,S,88.6,,0,,88.6,,0,,,,,
1966-06,1966,6,16.6,,9.3,,13,,27.8,,5.6,,90.2,,0,,90.2,,0,,,,,
1966-07,1966,7,18.8,,11.8,,15.3,,24.4,,8.9,S,149.4,,0,,149.4,,0,,,,,
1966-08,1966,8,20.7,,12.8,,16.8,,28.9,,8.9,S,56.9,,0,,56.9,,0,,,,,
1966-09,1966,9,17.7,,11.7,,14.7,,24.4,S,8.9,S,117.9,,0,,117.9,,0,,,,,
1966-10,1966,10,11.8,,6.9,,9.4,,22.8,,0.6,,258.1,,0,,258.1,,0,,,,,
1966-11,1966,11,8.8,,4.5,,6.7,,15.6,,0,,292.4,,0,,292.4,,0,,,,,
1966-12,1966,12,6.9,,2.7,,4.8,,11.7,,-2.2,,526.5,,19.6,,546.1,,0,,,,,
1967-01,1967,1,5.1,,1.4,,3.3,,10.6,,-1.7,S,353.3,,18.8,,372.1,,0,,,,,
1967-02,1967,2,6.6,,2.4,,4.5,,12.8,,0,S,199.9,,6.6,,206.5,,0,,,,,
1967-03,1967,3,6.8,,1.4,,4.1,,12.2,,-1.7,S,159,E,20.3,,179.3,E,,M,,,,
1967-04,1967,4,9.9,,3.3,,6.6,,15.6,S,0,S,97.5,,0,T,97.5,,0,,,,,
1967-05,1967,5,14.9,,7.6,,11.3,,23.9,,3.9,,48.8,,0,,48.8,,0,,,,,
1967-06,1967,6,21,,13.1,,17.1,,30,,9.4,,20.1,,0,,20.1,,0,,,,,
1967-07,1967,7,21.9,,13.1,,17.5,,27.8,,10,S,45,,0,,45,,0,,,,,
1967-08,1967,8,25.7,,15.8,,20.8,,32.2,,11.1,,6.1,,0,,6.1,,0,,,,,
1967-09,1967,9,20.5,,13,,16.8,,30,,8.9,,118.1,,0,,118.1,,0,,,,,
1967-10,1967,10,12.2,,7.4,,9.8,,18.3,S,3.9,S,575.6,,0,,575.6,,0,,,,,
1967-11,1967,11,8.2,,3.9,,6.1,,13.3,S,-2.2,,166.9,,5.8,,172.7,,,M,,,,
1967-12,1967,12,4.1,,0.6,,2.4,,8.9,,-8.9,,219.5,E,9.1,,228.6,E,0,,,,,
1968-01,1968,1,4.6,,-0.1,,2.3,,13.9,S,-11.1,,447,,32,,479,,,M,,,,
1968-02,1968,2,9.9,,4.3,,7.1,,18.3,,0,S,170.4,,0,,170.4,,0,,,,,
1968-03,1968,3,9.2,,4.2,,6.7,,16.7,S,0,,275.3,,0,T,275.3,,0,,,,,
1968-04,1968,4,10.5,,3.4,,7,,20,,-1.1,,100.6,,6.1,,106.7,,0,,,,,
1968-05,1968,5,16.3,,8.2,,12.3,,26.7,,1.1,,92.2,,0,,92.2,,0,,,,,
1968-06,1968,6,18.2,,9.9,,14.1,,23.3,S,4.4,,100.1,,0,,100.1,,0,,,,,
1968-07,1968,7,22.6,,14.5,,18.6,,30.6,,10,S,46.2,,0,,46.2,,0,,,,,
1968-08,1968,8,19.6,,12.4,,16,,27.8,,10,S,106.2,,0,,106.2,,0,,,,,
1968-09,1968,9,17.3,,10.5,,13.9,,24.4,,5.6,,177.8,,0,,177.8,,0,,,,,
1968-10,1968,10,11.7,,6.3,,9,,20,,3.9,S,276.6,,0,,276.6,,0,,,,,
1968-11,1968,11,8.4,,3.1,,5.8,,13.3,,-1.7,S,256,,22.9,,278.9,,0,,,,,
1968-12,1968,12,2.6,,-2.2,,0.2,,10.6,,-19.4,,241.6,,70.1,,311.7,,,M,,,,
1969-01,1969,1,-1,,-5.6,,-3.3,,7.8,,-13.9,,110,,124.2,,234.2,,,M,,,,
1969-02,1969,2,5.6,,0.5,,3.1,,10,,-2.8,,102.9,,35.3,,138.2,,0,,,,,
1969-03,1969,3,9.1,,2.9,,6,,17.2,,0,S,181.6,,0,T,181.6,,0,,,,,
1969-04,1969,4,10.3,,4.5,,7.4,,18.3,,0,,205.2,,0,T,205.2,,0,,,,,
1969-05,1969,5,18.2,,9.3,,13.8,,30,,3.9,,54.4,,0,,54.4,,0,,,,,
1969-06,1969,6,21.6,,13.3,,17.5,,30.6,,7.8,,67.1,,0,,67.1,,0,,,,,
1969-07,1969,7,20.8,,12.2,,16.5,,26.1,,8.9,,37.3,,0,,37.3,,0,,,,,
1969-08,1969,8,18.4,,11.2,,14.8,,24.4,,8.9,S,77.7,,0,,77.7,,0,,,,,
1969-09,1969,9,16.9,,11.1,,14,,25,,7.8,S,260.9,E,0,,260.9,E,0,,,,,
1969-10,1969,10,13.2,,7.1,,10.2,,20.6,,3.3,,177.5,,0,,177.5,,0,,,,,
1969-11,1969,11,9.3,,4.8,,7.1,,16.7,,0.6,S,157.2,,0,,157.2,,0,,,,,
1969-12,1969,12,6.9,,3.1,,5,,16.1,,0,S,203.7,,0,,203.7,,0,,,,,
1970-01,1970,1,5,,0.8,,2.9,,11.1,,-3.9,,188.5,,9.4,,197.9,,0,,,,,
1970-02,1970,2,9.8,,4.3,,7.1,,15,,0.6,S,111,,0.8,,111.8,,0,,,,,
1970-03,1970,3,9.4,,2.9,,6.2,,14.4,,-2.2,,102.1,,0,,102.1,,0,,,,,
1970-04,1970,4,9.9,,3.3,,6.6,,15,S,0,S,208,,1.3,,209.3,,0,,,,,
1970-05,1970,5,14.7,,7.1,,10.9,,22.2,,2.8,S,43.4,,0,,43.4,,0,,,,,
1970-06,1970,6,20.6,,11.9,,16.3,,31.1,,5.6,,49.5,,0,,49.5,,0,,,,,
1970-07,1970,7,21.6,,12.1,,16.9,,30,,8.9,,72.1,,0,,72.1,,0,,,,,
1970-08,1970,8,21.4,,12.4,,16.9,,27.2,,8.3,,20.6,,0,,20.6,,0,,,,,
1970-09,1970,9,16.4,,9.4,,12.9,,24.4,,4.4,,134.9,,0,,134.9,,0,,,,,
1970-10,1970,10,12.5,,6.5,,9.5,,23.9,,0,,143,,0,,143,,0,,,,,
1970-11,1970,11,8.3,,3.3,,5.8,,16.7,S,-6.7,S,174,E,15.7,,189.7,E,,M,,,,
1970-12,1970,12,3.6,,-0.2,,1.7,,7.8,,-5.6,,244.1,,26.9,,271,,,M,,,,
1971-01,1971,1,3.2,,-1.2,,1,,11.1,,-10,,319.5,,105.4,,424.9,,0,,,,,
1971-02,1971,2,5.2,,1.4,,3.3,,10.6,,-5,,231.9,,53.1,,285.2,,,M,,,,
1971-03,1971,3,5.8,,0.1,,3,,10.6,,-3.9,,227.3,,26.2,,253.5,,0,,,,,
1971-04,1971,4,11.3,,4.2,,7.8,,21.7,,0,S,73.4,,2,,75.4,,0,,,,,
1971-05,1971,5,16.2,,7.4,,11.8,,27.8,,2.8,S,42.4,,0,,42.4,,0,,,,,
1971-06,1971,6,14.6,,8.9,,11.8,,25,,6.7,S,145.3,,0,,145.3,,0,,,,,
1971-07,1971,7,22.7,,13.5,,18.1,,32.2,,6.7,,40.1,,0,,40.1,,0,,,,,
1971-08,1971,8,22.9,,14.3,,18.6,,30,S,10.6,,29.7,,0,,29.7,,0,,,,,
1971-09,1971,9,15.9,,9.7,,12.8,,23.3,,4.4,S,129,,0,,129,,0,,,,,
1971-10,1971,10,11.1,,5.8,,8.5,,21.1,,-3.3,,288,,1.3,,289.3,,0,,,,,
1971-11,1971,11,6.9,,3.2,,5.1,,12.2,,0,,305.8,,0,,305.8,,0,,,,,
1971-12,1971,12,1.6,,-2.3,,-0.4,,9.4,,-10.6,,53.6,,147.8,,201.4,,,M,,,,
1972-01,1972,1,1,,-3.1,,-1.1,,6.1,,-10,S,131.3,,71.9,,203.2,,,M,,,,
1972-02,1972,2,5.6,,0.3,,3,,11.1,S,-7.8,,258.8,,6.4,,265.2,,0,,,,,
1972-03,1972,3,8.4,,3.3,,5.9,,15,,-1.7,,319.8,,1.5,,321.3,,0,,,,,
1972-04,1972,4,8.6,,2.2,,5.4,,18.3,,-1.1,S,234.7,,15.5,,250.2,,0,,,,,
1972-05,1972,5,17,,9.2,,13.1,,29.4,,5,S,61,,0,,61,,0,,,,,
1972-06,1972,6,17.2,,10.5,,13.9,,27.2,,7.2,,73.4,,0,,73.4,,0,,,,,
1972-07,1972,7,21.8,,12.9,,17.4,,28.9,,8.3,,152.7,,0,,152.7,,0,,,,,
1972-08,1972,8,23.7,,13.8,,18.8,,31.7,,10,S,36.8,,0,,36.8,,0,,,,,
1972-09,1972,9,15.6,,8.9,,12.3,,28.9,,2.8,,116.1,,0,,116.1,,0,,,,,
1972-10,1972,10,12.5,,6.2,,9.4,,19.4,,0.6,,46,,0,,46,,,M,,,,
1972-11,1972,11,8.3,,4.2,,6.3,,12.8,,0.6,,229.4,,0,,229.4,,0,,,,,
1972-12,1972,12,2.6,,-1.3,,0.7,,8.9,S,-11.7,,431.3,,24.1,,455.4,,,M,,,,
1973-01,1973,1,4.2,,-0.5,,1.9,,10.6,,-9.4,S,217.7,,11.9,,229.6,,0,,,,,
1973-02,1973,2,7.9,,2.7,,5.3,,14.4,,-1.7,,125.2,,1.3,,126.5,,,M,,,,
1973-03,1973,3,8.2,,2.4,,5.3,,13.9,,-1.7,,147.1,,5.1,,152.1,,,M,,,,
1973-04,1973,4,12.8,,4.6,,8.7,,16.7,S,1.7,S,26.7,,0,,26.7,,,M,,,,
