Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1985-01,1985,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
1985-02,1985,2,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
1985-03,1985,3,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
1985-04,1985,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
1985-05,1985,5,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
1985-06,1985,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
1985-07,1985,7,21.1,,9.4,,15.3,,26.1,S,4.9,,19.4,,0,,19.4,,0,,32,,46,
1985-08,1985,8,19.7,,9.3,,14.5,,28,,0.5,,88.9,,0,,88.9,,0,,4,,65,
1985-09,1985,9,12.9,,4.5,,8.7,,20.5,,-2.5,,71.2,,3,,74.2,,0,,29,,76,
1985-10,1985,10,8.1,,0.2,,4.2,,16.5,,-7.4,,32,,11.4,,45,,0,,28,,81,
1985-11,1985,11,-7.5,,-16.1,,-11.8,,8,,-36.8,,1.6,,30.2,,23.1,,14,,32,,74,
1985-12,1985,12,-14,,-22.9,,-18.5,,0.2,,-32.5,,0,T,28.8,,17.6,,26,,33,,72,
1986-01,1986,1,-11.9,,-21,,-16.5,,7.1,,-36.7,,0,T,21.8,,,M,41,,32,,93,
1986-02,1986,2,-11.3,,-22.1,,-16.7,,3,,-35.1,,0.8,,25.4,,21.5,,60,,32,,48,
1986-03,1986,3,-0.9,,-13.9,,-7.4,,10,,-30.6,,7.2,,45.4,,45,,17,,33,S,69,S
1986-04,1986,4,6.8,,-3.6,,1.6,,18.5,,-12.9,,37.1,,11,,47.3,,0,,30,,63,
1986-05,1986,5,18.2,,4.7,,11.5,,30.1,,-5.8,,33.7,,5.2,,38.9,,0,,4,S,63,S
1986-06,1986,6,18.7,,6.7,,12.7,,30,,-1.4,,26.8,,0,,26.8,,0,,33,,83,
1986-07,1986,7,23.6,,11.5,,17.6,,29.3,,3,,71.9,,0.2,,71.9,,0,,28,,78,
1986-08,1986,8,22,,10.9,,16.5,,29.7,,0.4,,44.2,,0,,44.2,,0,,32,S,80,S
1986-09,1986,9,13.9,,3.3,,8.6,,18.8,,-4.3,,57.5,,0,,57.5,,0,,10,,65,
1986-10,1986,10,8.4,,-1.6,,3.4,,19.4,,-7.6,S,35,,8.5,,43.5,,7,,19,S,61,S
1986-11,1986,11,-7.6,,-17.2,,-12.4,,2,,-32.1,,6,,62.5,,65.5,,25,,35,S,54,S
1986-12,1986,12,-8.2,,-17.7,,-13,,-0.5,,-27.4,S,0,,31,,25.9,,36,,15,S,59,S
1987-01,1987,1,-9.8,,-20.4,,-15.1,,3.1,,-41.2,,0,T,6.4,,4.1,,36,,29,,76,
1987-02,1987,2,-4.6,,-14.1,,-9.4,,0.6,,-31,,0,,57,,44,,60,,32,,63,
1987-03,1987,3,-0.8,,-13,,-6.9,,13.8,,-30.1,,0,T,14,,13.8,,9,,31,,63,
1987-04,1987,4,12.2,,-0.9,,5.7,,24.1,,-14.1,,19.6,,0.4,,20,,0,,17,S,63,S
1987-05,1987,5,17.3,,5,,11.2,,29.8,,-4.1,,26.2,,0,T,26.2,,0,,31,,61,
1987-06,1987,6,22.1,,10.1,,16.1,,33.4,,0.5,,64,,0,T,64,,0,,27,,85,S
1987-07,1987,7,23,,11.3,,17.2,,30.6,,4.7,,109.8,,0,,109.8,,0,,10,S,52,S
1987-08,1987,8,20.2,,9.3,,14.8,,30,,0.9,,166.4,,0,,166.4,,0,,31,,69,
1987-09,1987,9,18.1,,6.4,,12.3,,24.4,,-2.6,,24.8,,0,,24.8,,0,,30,,57,
1987-10,1987,10,6.9,,-1,,3,,21.2,,-5.6,,41.3,,10.4,,50.1,,0,,28,,87,
1987-11,1987,11,0.9,,-6.7,,-2.9,,10.2,,-19.2,,12.2,,12.6,,20.3,,2,,28,,74,
1987-12,1987,12,-6,,-14.3,,-10.2,,1.3,,-27.7,,4.2,,27.5,,22.8,,11,,16,,59,
1988-01,1988,1,-16.2,,-26.6,,-21.4,,-4.5,,-37.7,,0,T,31.6,,18.2,,26,,32,,74,
1988-02,1988,2,-13.8,,-25.2,,-19.5,,2.5,,-33.7,,0,T,17,,14.3,,18,,29,,74,
1988-03,1988,3,-3.8,,-16.6,,-10.2,,9.8,,-29.8,,1.4,,67.1,,61.6,,43,,3,,61,
1988-04,1988,4,6.9,,-4.5,,1.2,,23.6,,-17.1,,4.8,,21,,24.1,,0,,20,,72,
1988-05,1988,5,17.4,,3.9,,10.7,,31.7,,-4.1,,51.9,,0,T,51.9,,0,,17,,78,
1988-06,1988,6,24.3,,12.2,,18.3,,33.4,,4.4,,25.7,,0,,25.7,,0,,31,,61,
1988-07,1988,7,24.8,,13.3,,19.1,,33,,5.2,,66.6,,0,,66.6,,0,,24,S,54,S
1988-08,1988,8,23.6,,11.7,,17.7,,33.6,,4.5,,103.1,,0,,103.1,,0,,19,,72,
1988-09,1988,9,14.8,,6.4,,10.6,,23.2,,-1.8,,84.8,,3,,84.8,,0,,29,,80,
1988-10,1988,10,7,,-1.7,,2.7,,20.6,,-10.8,,36,,18,,48.2,,5,,29,S,74,S
1988-11,1988,11,-2.3,,-8.1,,-5.2,,6.6,,-23,,0,T,32.6,,26.6,,11,,16,,70,
1988-12,1988,12,-11,,-20.8,,-15.9,,4.1,,-34.3,,0,T,37,,27.6,,24,,33,,56,
1989-01,1989,1,-12.6,,-24.6,,-18.6,,2.8,,-40.4,,,M,,M,,M,26,,32,,67,
1989-02,1989,2,-14.5,,-24.8,,-19.7,,-2.9,,-34.3,,0,T,18.2,,17.2,,34,,33,,67,
1989-03,1989,3,-7.7,,-19.8,,-13.8,,4,,-35.8,,0,T,6.6,,5.9,,20,,16,,63,
1989-04,1989,4,4.6,,-7.2,,-1.3,,20.3,,-17.6,,4.6,,0.8,,5.4,,0,T,32,S,61,S
1989-05,1989,5,16.8,,2.8,,9.8,,27.8,,-11,,58.3,,0.8,,59.1,,0,,36,S,69,S
1989-06,1989,6,20.5,,7,,13.8,,29.4,,-2.7,,72.7,,0,,72.7,,0,,5,,65,
1989-07,1989,7,25.8,,13.7,,19.8,,33.5,,4.4,,13.1,,0,,13.1,,0,,26,,63,
1989-08,1989,8,23.5,,11.8,,17.7,,35.6,,2.5,,93.4,,0,,93.4,,0,,29,,65,
1989-09,1989,9,16.2,,5.1,,10.7,,25.5,,-2,,121.8,,0,T,121.8,,0,,30,,67,
1989-10,1989,10,8.8,,-0.7,,4.1,,18.9,,-6.5,,96.6,,9.4,,106.4,,1,,14,,65,
1989-11,1989,11,-5.9,,-15.6,,-10.8,,5,,-28.2,,1.2,,41,,32.4,,15,,30,S,83,S
1989-12,1989,12,-16.6,,-27.1,,-21.9,,0.2,,-36.8,,0,T,25.7,,20.2,,25,,32,,70,
1990-01,1990,1,-11.3,,-22.2,,-16.8,,-3.2,,-38,,0,T,62.6,,52.5,,75,,36,,59,
1990-02,1990,2,-12.5,,-25.9,,-19.2,,2.7,,-39.1,,0,T,17.8,,15.1,,74,,32,,61,S
1990-03,1990,3,-1.2,,-12.4,,-6.8,,8.2,,-27.2,,22.5,,22.9,,45.2,,23,,26,,81,
1990-04,1990,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
1990-05,1990,5,14.1,,0.9,,7.5,,26.8,,-7.4,,38.8,,9.1,,47.9,,0,,1,,54,
1990-06,1990,6,20.8,,8.4,,14.6,,27.8,,-2,,31.9,,0,,31.9,,0,,18,,67,
1990-07,1990,7,22.6,,13.1,,17.9,,29.4,,2.2,,22,,0,,22,,0,,31,,61,
1990-08,1990,8,23.1,,11.6,,17.4,,33.1,,3.8,,63,,0,,63,,0,,20,,59,
1990-09,1990,9,15.4,,5.1,,10.3,,23.6,,-2.3,,53,,0,,53,,0,,16,S,52,S
1990-10,1990,10,6.5,,-0.8,,2.9,,15.3,,-7.5,,19.8,,30.3,,49.5,,0,,15,,67,
1990-11,1990,11,-1.5,,-9.3,,-5.4,,6,,-23.9,,18,,47.4,,56,,20,,30,,76,
1990-12,1990,12,-15.1,,-25.1,,-20.1,,3.5,,-39.4,,0,,24.1,,20,,27,,16,,81,
1991-01,1991,1,-16.9,,-28.7,,-22.8,,0.8,,-38.1,,0.2,,30.6,,25.4,,50,,31,S,48,S
1991-02,1991,2,-8.6,,-20.7,,-14.7,,6,,-29.9,,0,T,3.1,,1.9,,27,,16,S,54,S
1991-03,1991,3,-2.3,,-13.8,,-8.1,,12.3,,-37,,0,T,20.5,,15.3,,9,,30,,54,
1991-04,1991,4,9.9,,-2.2,,3.9,,24.4,,-12.6,,21.2,,12.9,,33.4,,0,,6,,70,
1991-05,1991,5,16.8,,4.7,,10.7,,26.8,,-4.7,S,37.2,,14.5,,51.1,,0,,21,,69,
1991-06,1991,6,22.7,,11.2,,16.9,,27.1,,2.6,,30.2,,0,,30.2,,0,,28,,57,
1991-07,1991,7,22.9,,12.8,,17.9,,32.2,,6.6,S,89,,0,,89,,0,,27,,80,
1991-08,1991,8,25.1,,11.4,,18.3,,31,,4.5,,14.8,,0,,14.8,,0,,28,S,52,S
1991-09,1991,9,14.7,,5.4,,10.1,,25.3,,-4.3,,90.2,,0,,90.2,,0,,30,,76,
1991-10,1991,10,4.1,,-3.8,,0.1,,14.6,,-13.9,,40.9,,51.4,,89.4,,27,,28,,74,
1991-11,1991,11,-6.7,,-15.3,,-11,,2.8,,-28.1,,9.8,,23.3,,29.4,,9,,18,,67,
1991-12,1991,12,-9.7,,-19.5,,-14.6,,1.8,,-34.6,,0,T,19.6,,14.7,,17,,33,,74,
1992-01,1992,1,-10.2,,-20.5,,-15.4,,0.8,,-35.6,,0,T,30,,25.1,,36,,18,,72,
1992-02,1992,2,-8.8,,-20.4,,-14.6,,3.3,,-35.6,,0,T,21,,13.3,,39,,33,,48,
1992-03,1992,3,-2.7,,-14.9,,-8.8,,7.4,,-28.6,,0.6,,18.3,,13.6,,4,,18,,57,
1992-04,1992,4,5.2,E,-5.4,E,-0.1,E,14.2,E,-19.1,E,35.2,,9.8,,44.6,,0,T,31,,74,
1992-05,1992,5,14.5,,2,,8.3,,30.6,,-3.6,,37.2,,1,,37.8,,0,,24,,74,
1992-06,1992,6,17.6,,6,,11.8,,28.1,,0.7,,67.9,,0,T,67.9,,0,,33,,59,
1992-07,1992,7,19.8,,9.7,,14.8,,25.9,,2.2,,84.1,,0,,84.1,,0,,32,,52,
1992-08,1992,8,20.1,,10,,15.1,,27.9,,4,S,68.6,,0,,68.6,,0,,27,,83,
1992-09,1992,9,14.2,,4.9,,9.6,,20.4,,-1.1,,71.2,,0,T,71.2,,0,,31,,85,
1992-10,1992,10,7.8,,-1.4,,3.2,,21.8,,-9.4,,2.2,,32.4,,24.2,,0,,31,S,78,S
1992-11,1992,11,-1.8,,-7.7,,-4.8,,3.6,,-15.5,,0,T,18.8,,15.7,,4,,18,,57,
1992-12,1992,12,-13.2,,-22.4,,-17.9,,-2.9,,-36.6,,0,T,27.6,,21.6,,26,,,,,
1993-01,1993,1,-12.8,,-24.1,,-18.5,,4.6,,-37.2,,0,,14,,10.7,,27,,,,,
1993-02,1993,2,-11.6,,-23.3,,-17.5,,4.8,,-34.2,,0,,6.4,,5.3,,17,,,,,
1993-03,1993,3,-1.3,,-11.8,,-6.5,,10.5,,-29.1,,6.8,,12.8,,18,,0,T,,,,
1993-04,1993,4,8.2,,-4.1,,2,,19.3,,-11.9,,6,,1.4,,7.4,,0,,,,,
1993-05,1993,5,13.9,,2.2,,8.1,,28.8,,-4.7,,44,,0.6,,44.6,,0,,,,,
1993-06,1993,6,19.3,,7.8,,13.6,,30.5,,-0.6,,144.4,,0,,144.4,,0,,,,,
1993-07,1993,7,21.4,,11.7,,16.6,,27.6,,6.1,,38.1,,0,,38.1,,0,,,,,
1993-08,1993,8,21.1,,11.6,,16.4,,26.1,,4.1,,142.6,,0,,142.6,,0,,,,,
1993-09,1993,9,13,,2.5,,7.8,,20.2,,-3.5,S,69.4,,0.4,,69.8,,0,,,,,
1993-10,1993,10,4.8,,-3.5,,0.7,,12,,-14.6,,18,,33,,49.8,,4,,,,,
1993-11,1993,11,-3.3,,-13.2,,-8.3,,3.5,,-30.6,,0.4,,34,,25.5,,19,,,,,
1993-12,1993,12,-10.7,,-20.3,,-15.5,,-0.7,,-38,,0,T,19.2,,13.7,I,34,,,,,
1994-01,1994,1,-21.9,,-31.5,,-26.7,,-9,,-39,,0,,8.4,,6.4,,36,,17,,63,
1994-02,1994,2,-16.2,,-27.6,,-21.9,,0.3,,-38.5,,0,T,11.6,,11.2,,33,,31,,61,
1994-03,1994,3,-0.6,,-12.3,,-6.5,,9.4,,-28.5,,2.8,,11.4,,12,,9,,19,I,80,I
1994-04,1994,4,5.6,,-6.8,,-0.6,,18.6,,-20.3,,16.8,,1.2,,18,,0,,32,I,59,I
1994-05,1994,5,13.7,,1.7,,7.7,,28.7,,-6,,42.3,,0.4,,42.7,,0,,25,I,65,I
1994-06,1994,6,21.5,,8.9,,15.2,,28.7,,1.6,,67.5,,0,,67.5,,0,,28,,70,
1994-07,1994,7,21.9,,12.4,,17.1,,28.4,,5.1,,133.4,,0,,133.4,,0,,32,I,56,I
1994-08,1994,8,20.6,,9.3,,14.9,,26.5,,1.9,,23.4,,0,,23.4,,0,,33,,61,
1994-09,1994,9,18.5,,6.8,,12.6,,27.3,,-1.5,,46.4,,0,,46.4,,0,,32,I,65,I
1994-10,1994,10,10.1,,2.2,,6.2,,17.8,,-5.6,,36.3,,3.6,,39.7,,0,,29,I,85,I
1994-11,1994,11,1.6,,-6.1,,-2.2,,8,,-22.5,,16.2,,13.8,,29.3,,5,,29,,69,
1994-12,1994,12,-7.2,,-16.9,,-12.1,,3.2,,-30.9,,0,T,33,,30.2,,27,,31,I,59,I
1995-01,1995,1,-12.7,,-22.5,,-17.6,,2.2,,-38.8,,0.3,,22.4,,18.9,,38,,32,,67,
1995-02,1995,2,-14.1,I,-26.7,I,-20.5,I,-1.6,I,-34.3,I,,M,5.8,I,5,I,,,32,I,61,I
1995-03,1995,3,,,,,,,,,,,,,,,,,,,,,,
1995-04,1995,4,,,,,,,,,,,,,,,,,,,,,,
1995-05,1995,5,,,,,,,,,,,,,,,,,,,,,,
1995-06,1995,6,,,,,,,,,,,,,,,,,,,,,,
1995-07,1995,7,,,,,,,,,,,,,,,,,,,,,,
1995-08,1995,8,,,,,,,,,,,,,,,,,,,,,,
1995-09,1995,9,,,,,,,,,,,,,,,,,,,,,,
1995-10,1995,10,,,,,,,,,,,,,,,,,,,,,,
1995-11,1995,11,,,,,,,,,,,,,,,,,,,,,,
1995-12,1995,12,,,,,,,,,,,,,,,,,,,,,,
1996-01,1996,1,-19.4,,-30.1,,-24.8,,2.6,,-42.7,,,,,,,,,,,,,
1996-02,1996,2,-11,,-22.4,,-16.7,,5.2,,-42.8,,20.8,,0,I,20.8,I,,,,,,
1996-03,1996,3,-8.3,,-21.2,,-14.7,,7.7,,-39.4,,0.2,,2.6,I,2.8,I,,,,,,
