Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1996-05,1996,5,14.6,,1.2,,7.9,,24.3,,-7.8,,21.8,E,2.6,E,24.4,E,,,,,,
1996-06,1996,6,,,,,,,,,,,,,,,,,,,,,,
1996-07,1996,7,,,,,,,,,,,,,,,,,,,,,,
1996-08,1996,8,,,,,,,,,,,,,,,,,,,,,,
1996-09,1996,9,,,,,,,,,,,,,,,,,,,,,,
1996-10,1996,10,,,,,,,,,,,,,,,,,,,,,,
1996-11,1996,11,,,,,,,,,,,,,,,,,,,,,,
1996-12,1996,12,,,,,,,,,,,,,,,,,,,,,,
1997-01,1997,1,,,,,,,,,,,,,,,,,,,,,,
1997-02,1997,2,-4.6,,-14.6,,-9.6,,14.2,,-25.1,,0,T,28.2,,28.2,,22,,,,,
1997-03,1997,3,-7.8,E,-20.3,E,-14.1,E,0.7,,-31.2,,,,,,,,,,,,,
1997-04,1997,4,8.5,E,-7.3,E,0.6,E,21.3,,-21.3,,,,,,,,,,,,,
1997-05,1997,5,14.7,,2.2,,8.5,,24.2,,-2.9,,20.6,,1.6,E,22.2,E,0,,,,,
1997-06,1997,6,19.9,E,9.1,E,14.5,E,27.5,,4.1,,121.8,E,0,,121.8,E,0,E,,,,
1997-07,1997,7,22.4,E,12,E,17.2,E,30.5,,9,,186.6,E,0,,186.6,E,0,E,,,,
1997-08,1997,8,23.2,,10.2,,16.7,,29.9,,5.8,,40.4,,0,,40.4,,0,,,,,
1997-09,1997,9,16.4,E,5.5,E,11,E,25.5,,-0.4,,30.6,,0,,30.6,,0,,,,,
1997-10,1997,10,-0.3,,-6.4,,-3.4,,9.6,,-17.1,,23.6,I,,,,,,,,,,
1997-11,1997,11,-7.7,,-15.2,,-11.5,,8.5,,-25.9,,0,,3.8,I,3.8,I,,,,,,
1997-12,1997,12,-11.8,E,-19.8,E,-15.8,E,6.9,,-30.6,,,,,,,,,,,,,
1998-01,1998,1,-25.1,,-31.8,,-28.5,,-10.8,,-44.1,,,,,,,,,,,,,
1998-02,1998,2,-12.2,,-21.6,,-16.9,,-3.1,,-29.6,,,,,,,,,,,,,
1998-03,1998,3,0.1,,-12.5,,-6.2,,12.2,,-30.8,,,,,,,,,,,,,
1998-04,1998,4,13,E,-1,E,6,E,22.8,,-6.4,,30,E,9.2,E,39.2,E,,,,,,
1998-05,1998,5,21.3,,6.1,,13.7,,27.8,,-1.3,,23.8,,0,,23.8,,0,E,,,,
1998-06,1998,6,23.3,,9.9,,16.6,,32.3,,1.2,,79.8,,0,,79.8,,0,,,,,
1998-07,1998,7,24.7,E,12,E,18.4,E,30.9,,5.1,,,,,,,,0,,,,,
1998-08,1998,8,22.8,,9.1,,16,,31.3,,3.4,,,,,,,,0,,,,,
1998-09,1998,9,16.7,,3.2,,10,,24.7,,-3.3,S,,,,,,,,,,,,
1998-10,1998,10,4,,-1.7,,1.2,,19.3,,-14.5,,5.8,,4,E,9.8,E,,,,,,
1998-11,1998,11,-10.2,E,-16.2,E,-13.2,E,0.4,,-28.9,,,,,,,,,,,,,
1998-12,1998,12,-17.8,,-25.2,,-21.5,,-1.2,,-33.8,,,,,,,,,,,,,
1999-01,1999,1,-17.6,,-26.1,,-21.9,,4.3,,-37.2,S,0,,,,,,,,,,,
1999-02,1999,2,-13.4,,-23.2,,-18.3,,-4.5,S,-35.4,,,,,,,,,,,,,
1999-03,1999,3,-0.8,,-13.4,,-7.1,,11.4,S,-23.2,,,,,,,,,,,,,
1999-04,1999,4,10.3,,-3.3,,3.5,,20.3,,-14.4,,,,,,,,,,,,,
1999-05,1999,5,13.5,,2.6,,8.1,,24.2,,-2.1,,36.4,,0,,36.4,,0,,,,,
1999-06,1999,6,20.1,,7.3,,13.7,,31.8,,1.9,,69,,0,,69,,0,,,,,
1999-07,1999,7,22,,9.2,,15.6,,30.3,,5.1,,52.2,,0,,52.2,,0,,,,,
1999-08,1999,8,22.9,,9.9,,16.4,,34.9,,4.3,,71.4,,0,,71.4,,,,,,,
1999-09,1999,9,16,,3.9,,10,,25.5,,-4.4,,11,,0.8,E,11.8,,0,,,,,
1999-10,1999,10,4.9,,-3.6,,0.6,,18.3,,-9.9,,10.2,,6.2,E,16.4,,,,,,,
1999-11,1999,11,-9,,-15.7,,-12.4,,5.2,,-25.6,,,,,,,,,,,,,
1999-12,1999,12,-12.3,,-21.3,,-16.8,,14.3,,-33.6,S,,,,,,,,,,,,
2000-01,2000,1,-17.5,,-26.1,,-21.9,,5.7,,-40.6,,,,,,,,,,,,,
2000-02,2000,2,-5.6,,-17.7,,-11.7,,6.2,,-29.5,,,,,,,,,,,,,
2000-03,2000,3,7.5,I,-6,I,0.8,I,13.7,I,-16.5,I,,,,,,,,,,,,
2000-04,2000,4,7,,-6.6,,0.2,,19.2,,-17.6,,6.6,,0,I,6.6,I,0,,,,,
2000-05,2000,5,14.9,,1.7,,8.3,,22.2,,-4.1,,47,,0,,47,,0,,,,,
2000-06,2000,6,20.7,,8.3,,14.5,,29.7,,4.9,,53.6,,0,,53.6,,0,,,,,
2000-07,2000,7,24.2,,11.4,,17.8,,29.8,,6.7,S,74.4,,0,,74.4,,0,,,,,
2000-08,2000,8,17.5,,7.2,,12.4,,29.3,,0.5,,69.8,,0,,69.8,,0,,,,,
2000-09,2000,9,12.5,,3.1,,7.8,,22.1,,-1,,65.4,,0,,65.4,,0,,,,,
2000-10,2000,10,5.4,,-4.9,,0.3,,16.8,,-15.1,,6.8,,1,E,7.8,,,,,,,
2000-11,2000,11,-5.3,,-13.7,,-9.6,,8.6,,-24.8,,,,,,,,,,,,,
2000-12,2000,12,-20.1,,-26.9,,-23.5,,-9.4,,-37.1,,,,,,,,,,,,,
2001-01,2001,1,-7.9,,-17.1,,-12.5,,7.7,,-24.7,,,,,,,,,,,,,
2001-02,2001,2,-9.7,,-21.2,,-15.4,,9.3,,-35.1,,,,,,,,,,,,,
2001-03,2001,3,-4.2,,-16.3,,-10.3,,9,,-34.1,,,,,,,,,,,,,
2001-04,2001,4,10.2,,-3.8,,3.2,,18.9,,-12.6,,6.8,,0,,6.8,,0,,,,,
2001-05,2001,5,15.2,,1.7,,8.5,,21.3,,-3.5,,77.8,,0,,77.8,,0,,,,,
2001-06,2001,6,21,,8.5,,14.8,,29.2,,3.7,S,87.6,,0,,87.6,,0,,,,,
2001-07,2001,7,23.6,,11.7,,17.7,,31.3,,7.2,,46.8,,0,,46.8,,0,,,,,
2001-08,2001,8,21.9,,9.7,,15.8,,31.5,,4,,41.8,,0,,41.8,,0,,,,,
2001-09,2001,9,14.4,,3.9,,9.1,,25,,-2.2,,65.4,,0,,65.4,,0,,,,,
2001-10,2001,10,3.8,,-3.9,,0,,16.4,,-15.7,,1,,14,E,15,,,,,,,
2001-11,2001,11,-7.9,,-13.9,,-10.9,,5.2,,-31.6,,,,,,,,,,,,,
2001-12,2001,12,-18.5,,-26.1,,-22.3,,-5.4,,-37.1,,,,,,,,,,,,,
2002-01,2002,1,-16.4,,-26,,-21.2,,7.9,,-43.6,,,,,,,,,,,,,
2002-02,2002,2,-10.4,,-23.1,,-16.8,,9.2,,-33.9,,,,,,,,,,,,,
2002-03,2002,3,-6.5,,-21.8,,-14.2,,7.9,,-35.2,,,,,,,,,,,,,
2002-04,2002,4,3.7,,-10.6,,-3.4,,14.6,,-27.8,,3.8,,0,I,3.8,I,,,,,,
2002-05,2002,5,12.8,,-1,,5.9,,26.7,,-14.5,,3.2,,0,,3.2,,0,,,,,
2002-06,2002,6,23.2,,8.4,,15.8,,28.9,,0.9,,58.8,,0,,58.8,,0,,,,,
2002-07,2002,7,21.6,,11.1,,16.4,,29.5,,4,,118.2,,0,,118.2,,0,,,,,
2002-08,2002,8,20,,8.4,,14.2,,26.2,,2,,24,,0,,24,,0,,,,,
2002-09,2002,9,14,,3.4,,8.7,,22,,-3.6,,50,,0,,50,,0,,,,,
2002-10,2002,10,4.6,,-2.6,,1,,15.2,,-11,,10.2,,1,E,11.2,,,,,,,
2002-11,2002,11,-4.5,,-12.2,,-8.4,,10,,-23.8,,,,,,,,,,,,,
2002-12,2002,12,-10.7,,-17.2,,-14,,7.8,,-29.2,,,,,,,,,,,,,
2003-01,2003,1,-18.1,,-25.4,,-21.8,,-0.6,,-43.6,,,,,,,,,,,,,
2003-02,2003,2,-10.9,,-21.6,,-16.3,,11,,-36.6,,,,,,,,,,,,,
2003-03,2003,3,-5.8,,-17.6,,-11.7,,10.5,,-32.9,,,,,,,,,,,,,
2003-04,2003,4,8.8,,-4.1,,2.4,,21.7,,-17.2,,12.4,,0.6,I,13,I,0,,,,,
2003-05,2003,5,17.4,,2.8,,10.1,,27.1,,-4.8,,7.4,,0,,7.4,,0,,,,,
2003-06,2003,6,20.3,,8.1,,14.2,,28.3,,2.2,,52.6,,0,,52.6,,0,,,,,
2003-07,2003,7,26.1,,12,,19.1,,32.9,,5.9,,17,,0,,17,,0,,,,,
2003-08,2003,8,21.6,,8.3,,14.9,,30.2,,2.9,,71.4,,0,,71.4,,0,,,,,
