Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2000-08,2000,8,24.1,,12.5,,18.3,,29.9,,5,,,,,,66.3,,0,,,,,
2000-09,2000,9,20.2,,7.7,,14,,30.5,,-3.4,,,,,,114.2,,0,,,,,
2000-10,2000,10,15.4,,3.9,,9.7,,21.9,,-4.5,,,,,,168.1,,0,,,,,
2000-11,2000,11,8.2,,2.7,,5.4,,13.3,,-11.4,,,,,,168.2,,0,,,,,
2000-12,2000,12,1.3,,-8.4,,-3.5,,13.3,,-22.7,,,,,,198.8,,,,,,,
2001-01,2001,1,-0.7,,-10.9,,-5.9,,3.5,,-25.9,,,,,,103.8,,,,,,,
2001-02,2001,2,-0.6,,-11,,-5.8,,6.8,S,-22.3,,,,,,103.8,,,,,,,
2001-03,2001,3,4.3,,-6.6,,-1.2,,10.4,,-24,,,,,,170.9,,,,,,,
2001-04,2001,4,7.6,,-2.2,,2.7,,19.1,,-10.3,,,,,,146,,,,,,,
2001-05,2001,5,17,,3.7,,10.4,,30.8,,-7.3,,,,,,164.2,,0,,,,,
2001-06,2001,6,22.7,,9.2,,16,,34.9,,1.7,,,,,,70,,0,,,,,
2001-07,2001,7,23.9,,10.3,,17.1,,32.5,,3.3,,,,,,71.7,,0,,,,,
2001-08,2001,8,25.9,,14,,20,,33.9,,3,,,,,,63.3,,0,,,,,
2001-09,2001,9,22.3,,8.8,,15.6,,34,,-0.2,,,,,,67.9,,0,,,,,
2001-10,2001,10,17,,4,,10.5,,25,,-3.1,,,,,,96.8,,0,,,,,
2001-11,2001,11,9,,-0.5,,4.3,,17.2,,-10.1,,,,,,93.9,,,,,,,
2001-12,2001,12,4,,-4.5,,-0.2,,14.2,,-16.2,,,,,,90.3,,0,,,,,
2002-01,2002,1,0.6,,-8.2,,-3.8,,8.7,,-23.4,,,,,,149.8,,,,,,,
2002-02,2002,2,1.3,,-9,,-3.9,,9.2,,-25.4,,,,,,128,,,,,,,
2002-03,2002,3,5.5,,-5,,0.3,,21.4,,-13.9,,,,,,214.4,,,,,,,
2002-04,2002,4,8.8,I,-0.1,I,4.3,I,15.1,I,-8,I,,,,,167.2,I,0,,,,,
2002-05,2002,5,15.8,,2.1,,8.9,,24.9,,-3.7,,,,,,94.7,,0,,,,,
2002-06,2002,6,18.7,E,7.2,E,12.9,E,27.9,E,0.2,E,,,,,80.4,I,0,,,,,
2002-07,2002,7,23.4,,12.3,,17.9,,31.3,,4.7,,,,,,152.3,,0,,,,,
2002-08,2002,8,25.9,,13.1,,19.5,,35.8,,5.2,,,,,,72.8,,0,,,,,
2002-09,2002,9,22,,9.1,,15.6,,33.6,,-1.7,,,,,,149.4,,0,,,,,
2002-10,2002,10,13.3,,2.1,,7.7,,26.1,,-5.3,,,,,,152.6,,0,,,,,
2002-11,2002,11,8.4,,-1.2,,3.6,,21.2,,-15.2,,,,,,251.3,,,M,,,,
2002-12,2002,12,2.6,,-6.9,,-2.2,,15.7,,-20.5,,,,,,129.1,,,M,,,,
2003-01,2003,1,-2.2,,-12.9,,-7.6,,6.6,,-25.6,,,,,,89.7,,,,,,,
2003-02,2003,2,-0.7,,-12.6,,-6.7,,10.8,,-28.5,,,,,,152,,,,,,,
2003-03,2003,3,3.2,,-7.6,,-2.2,,12.8,,-21.1,,,,,,126.2,,,,,,,
2003-04,2003,4,8.8,,-2.6,,3.1,,19.4,,-11.5,,,,,,116.5,,0,,,,,
2003-05,2003,5,14.5,,3.2,,8.9,,25.1,,-5,,,,,,65.3,,0,,,,,
2003-06,2003,6,21.1,,8.9,,15,,28.3,,0.1,,,,,,107.1,,0,,,,,
2003-07,2003,7,25.9,,14.9,,20.4,,32.6,,6.1,,,,,,25.9,,0,,,,,
2003-08,2003,8,24.7,,14.7,,19.7,,29.7,,4.4,,,,,,134.9,,0,,,,,
2003-09,2003,9,24,,10.2,,17.1,,30.3,,0.4,S,,,,,85.5,,0,,,,,
2003-10,2003,10,16.6,,4.3,,10.4,,25.7,,-3.2,,,,,,177.9,,0,,,,,
2003-11,2003,11,9.3,,0.2,,4.7,,16.5,,-9.9,,,,,,83.5,,,,,,,
