Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2005-03,2005,3,-27.1,,-34.5,,-30.8,,-10.8,,-43.9,,0,,10,,10,,,,,,,
2005-04,2005,4,-21.6,,-27.3,,-24.5,,-8.7,,-34.3,,0,,2,,2,,,,,,,
2005-05,2005,5,-6.1,,-11.5,,-8.8,,5.8,S,-19.2,S,,,,,,,,,,,,
2005-06,2005,6,1.8,E,-1.3,E,0.2,E,10.2,E,-5.2,E,,,,,,,0,,,,,
2005-07,2005,7,5.7,,0.2,,3,,15.2,,-2.7,,,,0,,,,0,,,,,
2005-08,2005,8,2.1,I,-0.9,I,0.6,I,14.3,I,-4,I,,,,,,,,,,,,
2005-09,2005,9,-7.6,I,-12.6,I,-10.1,I,-0.2,I,-20.3,I,,,,,,,,,,,,
2005-10,2005,10,-14,,-21.4,,-17.7,,-1.3,S,-29.9,S,,,,,,,,,,,,
2005-11,2005,11,-20.7,,-27.5,,-24.1,,-14.5,S,-33.3,S,,,,,,,1,,,,,
2005-12,2005,12,-23.5,,-30.4,,-27,,-12.6,,-36.8,,0,,11.3,,11.3,,6,,,,,
2006-01,2006,1,-23.6,,-31.4,,-27.5,,-13.5,,-39.5,,0,,65.9,,65.6,,7,,,,,
2006-02,2006,2,-27.3,,-35.3,,-31.3,,-1.8,,-41.5,,0,,32.1,,18.6,,15,,,,,
2006-03,2006,3,-23.3,,-32.7,,-28,,-7.2,,-43.9,,0,,7.4,,6.7,,11,,,,,
2006-04,2006,4,-16.1,,-24.6,,-20.4,,-7,,-31.9,,0,,26.5,,10.2,,16,,,,,
2006-05,2006,5,-5,,-10.9,,-8,,2,,-19,S,0,,27.1,,27.1,,18,,,,,
2006-06,2006,6,1.4,,-2.6,,-0.6,,8.2,,-7.3,,0,,58.2,,58.2,,2,,,,,
2006-07,2006,7,6.5,E,1.1,E,3.7,E,15.3,E,-1.8,E,6.8,E,8.5,E,15.3,E,0,,,,,
2006-08,2006,8,2.5,,-2.9,,-0.2,,12.5,,-9.2,,8.9,,10.8,,19.7,,8,,,,,
2006-09,2006,9,-2.7,,-8.2,,-5.5,,5,,-24.2,,0,,22.4,,22.4,,13,,,,,
2006-10,2006,10,-9.2,,-15.7,,-12.5,,5.3,,-25.9,,0,,14.1,,9.5,,4,,,,,
2006-11,2006,11,-20.7,,-27.3,,-24,,-12.8,,-34.6,,0,,20.8,,8.8,,5,,,,,
2006-12,2006,12,-26,,-33.9,,-30,,-17.5,,-39.3,,0,,6.8,,6.4,,10,,,,,
2007-01,2007,1,-25.3,,-32.7,E,-29,E,-15.9,,-38.7,,,,0,,,,1,,,,,
2007-02,2007,2,-24.1,E,-32,E,-28.1,E,-12.7,,-38.2,,0,,9.4,,9.4,,10,,,,,
2007-03,2007,3,-28.5,,-35.3,,-31.9,,-18.2,S,-42.7,,0,,10.9,,10.5,,12,,,,,
2007-04,2007,4,-16.1,,-22.6,,-19.4,,-9,,-34.4,,0,,24.6,,24.6,,23,,,,,
2007-05,2007,5,-10.7,,-15.6,,-13.2,,-3.3,,-21.6,,,,,,,,24,,,,,
2007-06,2007,6,1.7,I,-2.7,I,-0.4,I,8.5,I,-8.3,I,1.2,,12.4,,13.6,,,M,,,,
2007-07,2007,7,4.7,,0,,2.4,,16.8,,-2.6,,12.3,E,13.8,E,26.1,E,0,,,,,
2007-08,2007,8,3.7,,-0.5,,1.6,,11.6,,-6.1,,2,E,15.4,E,17.4,E,,M,,,,
2007-09,2007,9,-3.8,,-8.2,,-6,,2.8,,-14.2,,3,E,18.4,I,21.4,I,9,,,,,
