Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1840-01,1840,1,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1840-02,1840,2,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1840-03,1840,3,5.2,,-2.9,,1.2,,,M,,M,41.1,,,M,,M,,,,,,
1840-04,1840,4,11.1,,2.3,,6.7,,,M,,M,87.9,,,M,,M,,,,,,
1840-05,1840,5,17.2,,7.6,,12.4,,24.4,S,-0.6,,105.7,,0,,105.7,,,,,,,
1840-06,1840,6,20.7,,10.8,,15.8,,26.7,,2.8,,123.4,,0,,123.4,,,,,,,
1840-07,1840,7,24.4,,14.5,,19.5,,27.8,S,8.3,,134.4,,0,,134.4,,,,,,,
1840-08,1840,8,23.8,,14.1,,19,,27.8,S,8.9,S,73.9,,0,,73.9,,,,,,,
1840-09,1840,9,17.9,,7.2,,12.6,,,M,,M,,M,,M,,M,,,,,,
1840-10,1840,10,12.6,,2.2,,7.4,,22.8,S,-5,,48,,0,T,48,,,,,,,
1840-11,1840,11,5.6,,-1.5,,2.1,,13.9,,-9.4,,31,,,M,,M,,,,,,
1840-12,1840,12,-1,,-8.8,,-4.9,,5.6,,-22.8,,0,,,M,,M,,,,,,
1841-01,1841,1,-0.6,,-8.3,,-4.5,,5.6,,-21.1,,54.6,,,M,,M,,,,,,
1841-02,1841,2,-1.2,,-9.7,,-5.5,,6.7,,-18.3,,0,,,M,,M,,,,,,
