Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1971-01,1971,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-02,1971,2,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-03,1971,3,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-04,1971,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-05,1971,5,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-06,1971,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-07,1971,7,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-08,1971,8,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-09,1971,9,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-10,1971,10,13.8,,4.9,,9.4,,19.4,,-5.6,S,56.1,,0,,56.1,,0,,,,,
1971-11,1971,11,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1971-12,1971,12,-2.1,,-9.1,,-5.6,,5.6,S,-22.8,,25.9,,118.6,,144.5,,10,,,,,
1972-01,1972,1,-2.6,,-12.8,,-7.7,,10.6,,-27.2,,47.8,,47,,94.7,,5,,,,,
1972-02,1972,2,-5.2,,-14.7,,-10,,8.3,,-27.8,,30.7,,52.1,,82.8,,23,,,,,
1972-03,1972,3,-1.4,,-10.7,,-6.1,,10,,-22.2,,17.3,,141,,158.2,,20,,,,,
1972-04,1972,4,3.7,,-4.6,,-0.5,,13.9,,-13.3,,1,,62.7,,63.8,,5,,,,,
1972-05,1972,5,13.9,,3.1,,8.5,,28.9,,-7.2,,94.2,,0,T,94.2,,,M,,,,
1972-06,1972,6,20.6,,11.3,,16,,27.8,,-0.6,,76.5,,0,,76.5,,0,,,,,
1972-07,1972,7,22.8,,13.3,,18.1,,30,,4.4,,72.1,,0,,72.1,,0,,,,,
1972-08,1972,8,21.9,,11.9,,16.9,,26.1,,4.4,,38.4,,0,,38.4,,0,,,,,
1972-09,1972,9,18.7,,8.3,,13.5,,26.7,,-0.6,S,82,,0,,82,,0,,,,,
