Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1942-01,1942,1,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-02,1942,2,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-03,1942,3,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-04,1942,4,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-05,1942,5,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-06,1942,6,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-07,1942,7,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-08,1942,8,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1942-09,1942,9,18.1,,6.9,,12.5,,29.4,,-2.2,,64,,0,T,64,,,,,,,
1942-10,1942,10,11.3,,1.9,,6.6,,21.1,,-3.3,S,73.7,,0,T,73.7,,,,,,,
1942-11,1942,11,0.9,,-5.9,,-2.5,,13.3,,-16.1,,17.3,,36.3,,53.6,,,,,,,
1942-12,1942,12,-10.9,,-18.4,,-14.7,,0,,-32.8,,0,,240,,240,,,,,,,
1943-01,1943,1,-13.8,,-22.9,,-18.4,,-2.8,,-32.2,,0,,79.8,,79.8,,,,,,,
1943-02,1943,2,-7.2,,-18.2,,-12.7,,9.4,,-43.3,,3.8,,115.3,,119.1,,,,,,,
1943-03,1943,3,-5.2,,-15.6,,-10.4,,7.2,,-31.7,,0.8,,70.4,,71.1,,,,,,,
1943-04,1943,4,2.6,,-7.7,,-2.6,,16.7,,-24.4,,19.3,,66.8,,86.1,,,,,,,
1943-05,1943,5,14.7,,2.2,,8.5,,27.2,,-6.1,,44.7,,2.5,,47.2,,,,,,,
1943-06,1943,6,19.8,,8.6,,14.2,,31.7,,1.1,,139.2,,0,,139.2,,,,,,,
1943-07,1943,7,24.3,,12.2,,18.3,,34.4,,5.6,,79.5,,0,,79.5,,,,,,,
1943-08,1943,8,20.1,,10.8,,15.5,,28.3,,4.4,,116.3,,0,,116.3,,,,,,,
1943-09,1943,9,17.6,,5.3,,11.5,,28.3,,-3.9,,22.1,,0,,22.1,,,,,,,
1943-10,1943,10,11.3,,1.5,,6.4,,22.2,,-6.1,,104.6,,0,T,104.6,,,,,,,
1943-11,1943,11,1.7,,-5.8,,-2.1,,10,,-18.9,,21.8,,14.5,,36.3,,,,,,,
1943-12,1943,12,-8,,-18.8,,-13.4,,2.8,,-34.4,,0,,71.9,,71.9,,,,,,,
1944-01,1944,1,-6.3,,-15.7,,-11,,4.4,,-28.3,,2.5,,41.1,,43.7,,,,,,,
1944-02,1944,2,-8.8,,-21.4,,-15.1,,2.2,S,-36.1,,0,,76.2,,76.2,,,,,,,
