"Station Name","MACMILLAN PASS"
"Province","YUKON TERRITORY"
"Latitude","63.24"
"Longitude","-130.04"
"Elevation","1379.00"
"Climate Identifier","2100693"
"WMO Identifier","71990"
"TC Identifier","WNV"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-02","1998","02","-6.8","E","-15.3","E","-11.1","E","0.6","E","-25.7","E","0.0","","41.0","","41.0","","","",,"",,""
"1998-03","1998","03","-6.4","E","-17.6","E","-12.0","E","5.1","E","-31.3","E","0.0","","185.0","E","185.0","E","","",,"",,""
"1998-04","1998","04","3.9","E","-8.4","E","-2.3","E","9.7","E","-20.0","E","10.8","E","59.2","E","70.0","E","","",,"",,""
"1998-05","1998","05","13.2","E","0.7","E","6.9","E","25.1","E","-8.9","E","","","","","","","0","E",,"",,""
"1998-06","1998","06","16.9","E","4.6","E","10.8","E","25.6","E","0.4","E","","","","","","","","",,"",,""
"1998-07","1998","07","18.8","E","6.8","E","12.8","E","26.2","E","1.9","B","","","","","","","0","",,"",,""
"1998-08","1998","08","13.5","E","2.4","E","8.0","E","20.5","","-3.5","E","","","","","","","0","",,"",,""
"1998-09","1998","09","6.3","E","-2.5","E","1.9","E","12.2","","-11.3","","","","","","","","","",,"",,""
"1998-10","1998","10","-3.3","E","-9.9","E","-6.6","E","5.3","","-21.4","S","","","","","","","","",,"",,""
"1998-11","1998","11","-14.7","E","-21.2","E","-18.0","E","-3.4","","-30.6","","","","","","","","","",,"",,""
"1998-12","1998","12","","","","","","","","","","","","","","","","","","",,"",,""
"1999-01","1999","01","-19.0","I","-23.8","I","-21.4","I","-7.2","I","-31.6","I","0.0","I","13.4","I","13.4","I","45","",,"",,""
"1999-02","1999","02","-14.3","","-21.3","","-17.8","","-6.4","","-27.4","","0.0","","134.3","E","134.3","E","69","E",,"",,""
"1999-03","1999","03","-8.6","","-17.7","E","-13.2","E","1.8","","-34.6","","0.0","","43.6","E","43.6","E","79","E",,"",,""
"1999-04","1999","04","-1.4","","-10.7","","-6.1","","5.7","","-19.9","","0.0","","177.3","E","177.3","E","110","E",,"",,""
"1999-05","1999","05","5.4","","-3.1","","1.2","","9.5","","-7.5","","6.3","","40.0","E","46.3","E","69","E",,"",,""
"1999-06","1999","06","","","","","","","","","","","","","","","","","","",,"",,""
"1999-07","1999","07","15.1","","3.2","","9.2","","25.1","","-2.3","","5.2","","0.0","","5.2","","0","",,"",,""
"1999-08","1999","08","16.0","","4.6","","10.3","","28.0","","-3.5","","","","","","","","","",,"",,""
"1999-09","1999","09","6.1","","-1.5","","2.3","","13.6","","-17.4","","","","","","","","","",,"",,""
"1999-10","1999","10","-2.0","","-9.3","","-5.7","","5.3","","-20.0","","","","","","","","","",,"",,""
"1999-11","1999","11","-11.0","","-17.4","","-14.2","","0.1","","-29.7","","","","","","","","","",,"",,""
"1999-12","1999","12","-10.4","","-18.6","","-14.5","","6.1","","-34.9","S","","","","","","","","",,"",,""
"2000-01","2000","01","-18.0","","-25.4","","-21.8","","-2.5","","-37.7","","","","","","","","","",,"",,""
"2000-02","2000","02","-7.9","","-16.0","","-12.0","","-2.1","","-29.0","","","","","","","","","",,"",,""
"2000-03","2000","03","","","","","","","","","","","","","","","","","","",,"",,""
"2000-04","2000","04","-5.3","","-15.1","","-10.2","","6.0","","-27.8","","0.0","","3.9","E","3.9","","110","",,"",,""
"2000-05","2000","05","5.9","","-4.3","","0.8","","11.3","","-13.7","","0.3","","1.3","E","1.6","","51","",,"",,""
"2000-06","2000","06","13.9","","4.1","","9.0","","21.0","","0.3","","","","","","","","0","",,"",,""
"2000-07","2000","07","15.4","","5.7","","10.6","","21.0","","2.4","","","","0.0","","","","0","",,"",,""
"2000-08","2000","08","10.2","","1.7","","6.0","","20.3","S","-4.2","","0.9","","0.0","","0.9","","0","",,"",,""
"2000-09","2000","09","3.9","","-2.9","","0.5","","9.0","","-11.9","","0.0","","0.4","E","0.4","","","M",,"",,""
"2000-10","2000","10","-3.9","","-10.7","","-7.3","","4.6","S","-19.7","","","","","","","","","",,"",,""
"2000-11","2000","11","-7.7","","-13.1","","-10.4","","0.7","","-23.4","","","","","","","","","",,"",,""
"2000-12","2000","12","-14.3","","-21.7","","-18.0","","-0.7","","-34.8","","","","","","","","","",,"",,""
"2001-01","2001","01","-6.1","","-15.2","","-10.7","","0.6","","-24.6","","","","","","","","","",,"",,""
"2001-02","2001","02","-14.3","","-21.6","","-18.0","","-0.6","","-37.9","","","","","","","","","",,"",,""
"2001-03","2001","03","-11.1","","-18.6","","-14.8","","-1.6","","-36.9","","","","","","","","","",,"",,""
"2001-04","2001","04","-2.5","","-10.5","","-6.6","","2.8","","-19.6","","","","","","","","","",,"",,""
"2001-05","2001","05","3.6","","-4.1","","-0.2","","10.6","","-11.4","","","","","","","","0","",,"",,""
"2001-06","2001","06","13.0","","3.3","","8.2","","18.4","","-2.9","","","","","","","","0","",,"",,""
"2001-07","2001","07","15.8","","5.5","","10.7","","27.2","","1.1","","","","","","","","0","",,"",,""
"2001-08","2001","08","14.7","","4.4","","9.6","","22.2","","-0.8","","","","","","","","0","",,"",,""
"2001-09","2001","09","7.1","","-1.0","","3.1","","12.0","","-5.7","","","","","","","","0","",,"",,""
"2001-10","2001","10","-4.3","","-10.7","","-7.5","","9.3","","-21.1","S","","","","","","","","",,"",,""
"2001-11","2001","11","-11.8","","-18.2","","-15.0","","-2.5","","-31.4","","","","","","","","","",,"",,""
"2001-12","2001","12","-16.5","","-23.5","","-20.0","","1.2","","-37.6","","","","","","","","","",,"",,""
"2002-01","2002","01","-14.2","","-20.7","","-17.5","","-0.9","","-35.0","","","","","","","","","",,"",,""
"2002-02","2002","02","-11.6","","-18.5","","-15.1","","-3.5","","-28.0","","","","","","","","","",,"",,""
"2002-03","2002","03","-15.3","","-24.3","","-19.8","","-6.4","","-33.1","","","","","","","","","",,"",,""
"2002-04","2002","04","-6.6","","-16.3","","-11.5","","7.8","","-31.2","","","","","","","","","",,"",,""
"2002-05","2002","05","6.0","","-5.3","","0.4","","16.2","","-25.0","","","","","","","","0","",,"",,""
"2002-06","2002","06","14.3","","2.1","","8.2","","21.3","","-3.6","","","","","","","","0","",,"",,""
"2002-07","2002","07","16.0","","4.9","","10.5","","22.4","","-2.8","","","","","","","","0","",,"",,""
"2002-08","2002","08","10.4","","2.7","","6.5","","17.4","","-3.1","","132.3","","0.0","","132.3","","0","",,"",,""
"2002-09","2002","09","7.9","","-1.2","","3.4","","15.5","","-5.3","","28.1","","20.6","E","48.7","","0","",,"",,""
"2002-10","2002","10","-0.7","","-8.5","","-4.6","","7.4","","-21.3","","0.6","","61.5","E","62.1","","21","",,"",,""
