Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1983-01,1983,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1983-02,1983,2,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1983-03,1983,3,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1983-04,1983,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1983-05,1983,5,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1983-06,1983,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1983-07,1983,7,24.3,,13.2,,18.8,,29.5,S,8.5,S,126,,0,,126,,0,,,,,
1983-08,1983,8,,M,12.7,E,,M,,M,5.5,,130.5,,0,,130.5,,0,,,,,
1983-09,1983,9,20.5,E,9.4,,15,E,29.5,,0,,48.2,,0,,48.2,,0,,,,,
1983-10,1983,10,12.5,,2.3,,7.4,,23.5,,-10,,61.4,,0,,61.4,,0,,,,,
1983-11,1983,11,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1983-12,1983,12,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1984-01,1984,1,,M,,M,,M,,M,,,,M,,M,,M,,M,,,,
1984-02,1984,2,,M,,M,,M,,M,,,,M,,M,,M,,M,,,,
1984-03,1984,3,,M,,M,,M,,M,,,,M,,M,,M,,M,,,,
1984-04,1984,4,,M,,M,,M,,M,,,,M,,M,,M,,M,,,,
1984-05,1984,5,,M,,M,,M,,M,,,,M,0,,,M,0,,,,,
1984-06,1984,6,21.4,,10.1,E,15.8,E,32,,,,149.2,,0,,149.2,,0,,,,,
1984-07,1984,7,24.9,,14.3,E,19.6,E,,M,,,110.5,E,0,,110.5,E,0,,,,,
1984-08,1984,8,25.1,,13.8,E,19.5,E,,M,,,68.6,,0,,68.6,,0,,,,,
1984-09,1984,9,,M,,M,,M,,M,,,95.6,,0,,95.6,,0,,,,,
1984-10,1984,10,,M,,M,,M,,M,,,40,E,0,T,40,E,0,,,,,
1984-11,1984,11,,M,,M,,M,,M,,,,M,0,,,M,0,,,,,
1984-12,1984,12,1.6,,-9.3,E,-3.9,E,,M,,,,M,,M,,M,,M,,,,
1985-01,1985,1,,M,-17.3,E,,M,,M,-25.5,,0,,,M,,M,,M,,,,
1985-02,1985,2,0.4,,-8.7,,-4.2,,7,S,-27,,,M,35,,,M,,M,,,,
1985-03,1985,3,0.4,E,-8.5,,-4.1,E,11,,-23.5,,,M,,M,,M,0,,,,,
1985-04,1985,4,8.3,E,-3.1,E,2.6,E,19.5,S,-13.5,,8.8,E,21.5,,30.3,E,0,,,,,
1985-05,1985,5,15.7,,4.1,E,9.9,E,25,,-2,,117.8,E,12,,129.8,E,0,,,,,
1985-06,1985,6,19.2,E,9.3,E,14.3,E,26,,4,S,183.1,,0,,183.1,,0,,,,,
1985-07,1985,7,24.5,,13.1,,18.8,,30,,8.5,,65,,0,,65,,0,,,,,
1985-08,1985,8,22.8,,11,,16.9,,30.5,,4,,62.2,,0,,62.2,,0,,,,,
1985-09,1985,9,18.4,,7.8,,13.1,,26,,1.5,,22.2,,0,,22.2,,0,,,,,
1985-10,1985,10,,M,,M,,M,,M,,M,58.6,,0,T,58.6,,0,,,,,
1985-11,1985,11,,M,,M,,M,,M,,M,84,E,13,,97,E,,M,,,,
1985-12,1985,12,-2.7,,-13.3,E,-8,E,14,,-21.5,,,M,,M,,M,,M,,,,
1986-01,1986,1,-0.9,,-11.6,E,-6.3,E,12.5,S,-27,,,M,40.4,,,M,0,T,,,,
1986-02,1986,2,-3.5,,-12.5,,-8,,5,,-23,,0,,51,,51,,32,,,,,
1986-03,1986,3,2.4,E,-8.7,E,-3.2,E,13,S,-20.5,,,M,,M,,M,0,T,,,,
1986-04,1986,4,9.7,E,0.1,E,4.9,E,19,,-8,E,,M,,M,,M,0,T,,,,
1986-05,1986,5,16.3,,4.2,,10.3,,29,,-3.5,S,56.6,,0,,56.6,,0,,,,,
1986-06,1986,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1986-07,1986,7,22,E,11.6,E,16.8,E,29.5,E,8,S,,M,0,,,M,0,,,,,
1986-08,1986,8,21.5,E,10.9,E,16.2,E,27,,2,E,115.6,,0,,115.6,,0,,,,,
1986-09,1986,9,16.8,,5.7,E,11.3,E,23,,0,S,77.1,,0,,77.1,,0,,,,,
1986-10,1986,10,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1986-11,1986,11,4.7,,-6.1,,-0.7,,15,,-17.5,,56.7,,14,,70.7,,0,,,,,
1986-12,1986,12,0.1,,-11.3,,-5.6,,10,,-23,,19.4,,18,,37.4,,0,,,,,
1987-01,1987,1,-4.6,E,-15.5,E,-10.1,E,5,,-28,S,0,T,128,E,128,E,33,,,,,
1987-02,1987,2,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1987-03,1987,3,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1987-04,1987,4,11.4,E,0.3,E,5.9,E,24,,-6,,54.3,E,,M,,M,0,,,,,
1987-05,1987,5,17.4,,4.5,,11,,25.5,,-6,,53.6,,0,T,53.6,,0,,,,,
1987-06,1987,6,20.8,,10.5,,15.7,,26,,5.5,S,117.4,,0,,117.4,,0,,,,,
1987-07,1987,7,24.8,,14,,19.4,,30,,6.5,,26.4,,0,,26.4,,0,,,,,
1987-08,1987,8,23.7,,12,,17.9,,33,,4.5,,33.6,,0,,33.6,,0,,,,,
