Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2004-11,2004,11,-0.2,,-6.7,,-3.4,,5.1,,-13.3,,,,,,80.7,,26,,,,,
2004-12,2004,12,-9.7,,-16.9,,-13.3,,-1,,-27.1,,,,,,88,,24,,,,,
2005-01,2005,1,-18.4,,-25.4,,-21.9,,-9.7,,-30.8,,,,,,42.5,,18,,,,,
2005-02,2005,2,-8.9,,-19.8,,-14.4,,3.8,,-29.2,,,,,,119.8,,51,,,,,
2005-03,2005,3,-5.2,,-14.5,,-9.9,,4,,-30.4,,,,,,145.8,,45,,,,,
2005-04,2005,4,2.3,,-5.7,,-1.7,,8.5,,-14.9,,,,,,44.2,,26,,,,,
2005-05,2005,5,7.8,,-0.1,,3.9,,21.3,,-5,,,,,,61.6,,0,,,,,
2005-06,2005,6,12.7,,4.2,,8.5,,24.2,,-0.4,,,,,,59,,0,,,,,
2005-07,2005,7,17.3,,8,,12.7,,27.6,,2.9,,,,,,83,,0,,,,,
2005-08,2005,8,15.2,,6.4,,10.8,,24.8,,2,,,,,,59.6,,0,,,,,
2005-09,2005,9,11.5,,4.8,,8.2,,25.5,,-1.1,,,,,,159.2,,0,,,,,
2005-10,2005,10,6.2,,1.5,,3.9,,16.8,,-4.8,,,,,,89.5,,,,,,,
2005-11,2005,11,0.4,,-6.5,,-3.1,,9.5,,-12.1,,,,,,67.7,,10,,,,,
2005-12,2005,12,-8.4,,-13.7,,-11.1,,1.1,,-24.8,,,,,,120.6,,23,,,,,
2006-01,2006,1,-12.5,,-18.4,,-15.5,,-3.5,,-27,,,,,,60.1,,23,,,,,
2006-02,2006,2,-9.3,,-18.7,,-14,,3,,-27.6,,,,,,115.5,,37,,,,,
2006-03,2006,3,-1.9,,-9.2,,-5.5,,3.1,,-20.8,,,,,,108.9,,23,,,,,
2006-04,2006,4,3.2,,-3.8,,-0.3,,12.4,,-13,,,,,,77.3,,5,,,,,
2006-05,2006,5,8.8,,0.8,,4.9,,23,,-2.1,,,,,,23.7,,0,,,,,
2006-06,2006,6,14.9,,4.8,,9.9,,29.1,,-0.4,,,,,,57.4,,0,,,,,
2006-07,2006,7,16.3,,7.5,,11.9,,29.4,,3.7,,,,,,118,,0,,,,,
2006-08,2006,8,14.9,,7.7,,11.4,,21.4,,3.2,,,,,,103.7,,0,,,,,
2006-09,2006,9,13.4,,5.3,,9.4,,24.7,,-0.7,,,,,,41.5,,0,,,,,
2006-10,2006,10,6.4,,1.9,,4.1,,12.5,,-1.9,,,,,,85.3,,1,,,,,
2006-11,2006,11,-0.5,,-5.7,,-3.1,,4.8,,-14.3,,,,,,56.6,,12,,,,,
2006-12,2006,12,-6.9,,-12.4,,-9.7,,3.4,,-19.2,,,,,,31.5,,17,,,,,
2007-01,2007,1,-10.4,,-17.6,,-14,,-0.5,,-28,,,,,,184.2,,36,,,,,
2007-02,2007,2,-7.7,,-15.2,,-11.5,,1.6,,-30.6,,,,,,109.4,E,58,,,,,
2007-03,2007,3,-8.3,,-17.1,,-12.7,,6,,-25.3,,,,,,55.6,I,55,,,,,
2007-04,2007,4,-1.1,,-9.4,,-5.3,,8.6,,-22.4,,,,,,20.2,,41,,,,,
2007-05,2007,5,4.3,,-2.7,,0.8,,16,,-7.9,,,,,,52.2,,0,,,,,
2007-06,2007,6,11.2,,2.4,,6.8,,23.7,,-4.2,,,,,,68.6,,0,,,,,
2007-07,2007,7,15.7,,6.2,,11,,24.7,,1.8,S,,,,,38.9,,0,,,,,
