Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1926-01,1926,1,-1.8,,-12.1,,-7,,7.2,,-31.1,,0,,53.3,,53.3,,,,,,,
1926-02,1926,2,-2.3,,-13.2,,-7.8,,6.1,,-26.7,,0,,22.9,,22.9,,,,,,,
1926-03,1926,3,2.3,,-8.8,,-3.3,,14.4,,-16.7,,6.9,,1.3,,8.1,,,,,,,
1926-04,1926,4,13.3,,-0.9,,6.2,,27.8,,-16.7,,3,,1.3,,4.3,,,,,,,
1926-05,1926,5,18.7,,6.2,,12.5,,28.9,,-3.9,,65,,0,,65,,,,,,,
1926-06,1926,6,21.2,,8.3,,14.8,,32.2,,2.8,,20.3,,0,,20.3,,,,,,,
1926-07,1926,7,27.9,,12.4,,20.2,,35.6,,4.4,,27.7,,0,,27.7,,,,,,,
1926-08,1926,8,22.4,,9.5,,16,,32.8,,4.4,S,43.7,,0,,43.7,,,,,,,
1926-09,1926,9,13.1,,1.4,,7.3,,23.3,,-10,,20.3,,11.4,,31.8,,,,,,,
1926-10,1926,10,10.7,,-1.4,,4.7,,21.1,,-10.6,S,2,,5.1,,7.1,,,,,,,
1926-11,1926,11,-3.3,,-10.9,,-7.1,,16.1,,-23.9,,1,,26.7,,27.7,,,,,,,
1926-12,1926,12,-7.7,,-18.6,,-13.2,,5.6,,-35,,0,,6.4,,6.4,,,,,,,
1927-01,1927,1,-8.7,,-19.2,,-14,,5.6,,-36.7,,0,,7.6,,7.6,,,,,,,
1927-02,1927,2,-8.3,,-19.8,,-14.1,,5,,-40.6,,0,,17.8,,17.8,,,,,,,
1927-03,1927,3,1.1,,-8.2,,-3.6,,10.6,,-25,,9.7,,20.3,,30,,,,,,,
1927-04,1927,4,9.4,,-2,,3.7,,23.3,,-13.9,,12.7,,14,,26.7,,,,,,,
1927-05,1927,5,13.1,,3.3,,8.2,,25,,-2.2,,107.7,,0,,107.7,,,,,,,
1927-06,1927,6,22.3,,9.1,,15.7,,32.8,,1.7,,28.2,,0,,28.2,,,,,,,
1927-07,1927,7,24.1,,11.5,,17.8,,32.8,,5.6,,75.2,,0,,75.2,,,,,,,
1927-08,1927,8,24.6,,8.9,,16.8,,30.6,S,0,,39.1,,0,,39.1,,,,,,,
1927-09,1927,9,18.3,,5.1,,11.7,,32.8,,-5.6,,70.9,,0.8,,71.6,,,,,,,
1927-10,1927,10,13.2,,1.9,,7.6,,27.2,,-4.4,,46.2,,2.8,,49,,,,,,,
1927-11,1927,11,-6.4,,-16,,-11.2,,10,,-26.7,,0,,35.6,,35.6,,,,,,,
1927-12,1927,12,-14.2,,-26.4,,-20.3,,3.3,,-37.2,S,0,,12.7,,12.7,,,,,,,
1928-01,1928,1,-4.6,,-17.9,,-11.3,,7.2,,-39.4,,0,,3.3,,3.3,,,,,,,
1928-02,1928,2,-2.2,,-13.3,,-7.8,,7.8,,-26.7,,0,,2,,2,,,,,,,
1928-03,1928,3,2.1,,-9.3,,-3.6,,18.3,,-22.8,,4.8,,15.5,,20.3,,,,,,,
1928-04,1928,4,7.1,,-4.7,,1.2,,26.7,,-13.3,,5.6,,25.4,,31,,,,,,,
1928-05,1928,5,22.5,,5.2,,13.9,,34.4,,-3.3,,8.1,,0,,8.1,,,,,,,
1928-06,1928,6,19.3,,8.1,,13.7,,26.1,S,2.2,,94.7,,0,,94.7,,,,,,,
1928-07,1928,7,24.3,,12,,18.2,,31.1,,7.8,,38.4,,0,,38.4,,,,,,,
1928-08,1928,8,23.7,,8.1,,15.9,,35.6,,-2.2,,25.4,,0,,25.4,,,,,,,
1928-09,1928,9,20.3,,3.4,,11.9,,31.1,,-10,,2.3,,0,,2.3,,,,,,,
1928-10,1928,10,10,,-2.6,,3.7,,19.4,,-10.6,,10.9,,5.1,,16,,,,,,,
1928-11,1928,11,6.7,,-7.4,,-0.4,,15,,-17.2,,0.8,,0,,0.8,,,,,,,
1928-12,1928,12,-0.4,,-12.7,,-6.6,,8.9,S,-35,,0,,11.4,,11.4,,,,,,,
1929-01,1929,1,-14.8,,-27.8,,-21.3,,3.9,,-40.6,S,0,,20.6,,20.6,,,,,,,
1929-02,1929,2,-11.3,,-22.7,,-17,,0.6,,-37.8,,0,,19.3,,19.3,,,,,,,
1929-03,1929,3,4.6,,-7.9,,-1.7,,18.3,,-23.3,,5.8,,10.2,,16,,,,,,,
1929-04,1929,4,8.2,,-3.8,,2.2,,18.3,,-17.2,,14.2,,8.9,,23.1,,,,,,,
1929-05,1929,5,15.7,,1.2,,8.5,,30.6,,-6.7,S,22.1,,12.7,,34.8,,,,,,,
1929-06,1929,6,22.6,,8.3,,15.5,,30,,2.8,,59.4,,0,,59.4,,,,,,,
1929-07,1929,7,28.4,,11.7,,20.1,,39.4,,6.1,,8.1,,0,,8.1,,,,,,,
1929-08,1929,8,28.2,,11,,19.6,,36.7,,5,,14,,0,,14,,,,,,,
