,GEO,REF_DATE,DGUID,uom_houseindex,scalar_houseindex,house_only,land_only,total_house_land,uom_income,scalar_income,statistic_income,income,uom_expenditure,scalar_expenditure,statistic_expenditure,food_expenditures,income_taxes,mortageinsurance,mortagePaid,accomodation,rent,shelter,total_expenditure,taxes_landregfees,uom_tourist,scalar_tourist,international_tourism,domestic_tourism,uom_labourforce,scalar_labourforce,statistic_labourforce,employment,fulltime,labourforce,parttime,population,unemployment,uom_lfperc,scalar_lfperc,statistic_labourforceperc,employment_rate,participationrate,unemployment_rate,uom_crime,scalar_crime,statistic_crime,crime_incidents,uom_cpi,scalar_cpi,cpi_index,uom_oil,scalar_oil,diesel_fillingstations,diesel_selfservstations,premium_fillingstations,premium_selfservstations,regular_fillingstations,regular_selfservstations,uom_imm,scalar_imm,immigrants,1y_fixed_posted,2y_bond,3y_bond,3y_fixed_posted,5y_bond,5y_fixed_posted,7y_bond,10y_bond,bank,overnight,overnight_target,prime,Mean_Max_Temp,Mean_Min_Temp,Mean_Temp,Total_Rain,Total_Snow,predicted_total_house_index
0,Nova Scotia,2011-06,2016A000212,"Index, 201612=100",units,92.1,96.6,93.1,,,,,Dollars,unit,Average expenditure per household,82.58,628.0,956.17,8.42,310.25,966.0,186.25,1046.5,5586.42,Persons,unit,13648.0,51209.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",289.93332,239.7,316.21667,50.283333,475.31668,26.266666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.816666,64.78333,9.066667,Number,unit,"Total of all violations-Rate per 100,000 population",611.96,Percent,unit,1.8,Cents per litre,units,129.399993896,,137.699996948,134.699996948,130.399993896,126.599998474,,,,3.52,1.46272727273,1.75272727273,4.29,2.20590909091,5.41,2.58590909091,2.98772727273,1.25,0.997581818182,1.0,3.0,,,,,,93.0170516968
1,Nova Scotia,2015-06,2016A000212,"Index, 201612=100",units,99.2,99.3,99.1,,,,,Dollars,unit,Average expenditure per household,113.0,623.17,1032.75,9.67,331.0,1070.08,228.83,1181.0,5911.67,Persons,unit,14233.0,52423.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",284.6,236.06667,308.73334,48.533333,476.5,24.1,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.15,63.65,8.566667,Number,unit,"Total of all violations-Rate per 100,000 population",474.72,Percent,unit,1.6,Cents per litre,units,,107.800003052,,128.100006104,,119.699996948,,,,2.89,0.610909090909,0.613181818182,3.39,0.973636363636,4.64,1.40636363636,1.78,1.0,0.744677272727,0.75,2.85,,,,,,98.8777389526
2,Quebec,2013-10,2016A000224,"Index, 201612=100",units,98.7,98.7,98.6,,,,,Dollars,unit,Average expenditure per household,67.92,657.67,1004.83,7.75,317.83,979.17,251.75,1067.58,5699.75,Persons,unit,613228.0,939467.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2600.7334,2153.6333,2812.6667,447.1,4131.533,211.91667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.666668,66.066666,8.266666,Number,unit,"Total of all violations-Rate per 100,000 population",391.76,Percent,unit,1.5,Cents per litre,units,,137.199996948,,142.099998474,,131.100006104,Persons,units,7889.0,3.14,1.16181818182,1.33863636364,3.95,1.82045454545,5.34,2.11,2.51818181818,1.25,0.999127272727,1.0,3.0,11.8,3.0,7.4,80.4,2.8,98.4891281128
3,Ontario,1992-03,2016A000235,"Index, 201612=100",units,45.6,79.7,54.8,,,,,,,,,,,,,,,,,Persons,unit,3211986.0,4796249.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",3144.2666,2600.0833,3497.8333,544.18335,5017.6333,353.58334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.333332,65.36667,10.466666,,,,,Percent,unit,2.1,Cents per litre,units,,,61.066666921,59.9999987284,54.4000002543,53.7666651408,,,,9.5,,,,,10.5,,,,,,8.25,3.4,-3.3,0.0,21.8,12.6,54.7129707336
4,Ontario,1997-12,2016A000235,"Index, 201612=100",units,46.5,77.4,54.7,,,,,,,,,,,,,,,,,Persons,unit,1861837.0,4182452.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",3440.1333,2840.7666,3713.2166,599.35,5433.8335,273.1,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.283333,63.483334,8.016666,,,,,Percent,unit,1.4,Cents per litre,units,,,68.633333842,58.1333325704,58.1333325704,56.0666681925,,,,6.65,,,,,7.05,,,,,,6.0,3.0,-1.3,0.8,23.2,11.8,54.8959655762
5,Saskatchewan,1988-02,2016A000247,"Index, 201612=100",units,32.0,32.0,32.1,,,,,,,,,,,,,,,,,Persons,unit,37026.0,51059.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",290.8,228.63333,312.66666,62.183334,454.13333,21.85,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.033333,65.933334,7.1833334,,,,,Percent,unit,,Cents per litre,units,,,,,50.8000011444,,,,,9.75,,,,,11.5,,,,,,9.75,-4.5,-15.4,-10.0,0.0,9.0,32.0750274658
6,British Columbia,2015-06,2016A000259,"Index, 201612=100",units,92.2,99.2,94.4,,,,,Dollars,unit,Average expenditure per household,159.33,764.0,1182.75,10.75,563.33,1466.92,354.5,1660.17,7142.67,Persons,unit,1169458.0,2193914.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1467.1167,1180.55,1557.8334,286.56668,2356.75,90.7,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.966667,64.11667,6.5,Number,unit,"Total of all violations-Rate per 100,000 population",729.82,Percent,unit,1.6,Cents per litre,units,,125.649997711,,146.599998474,,130.950004578,,,,2.89,0.610909090909,0.613181818182,3.39,0.973636363636,4.64,1.40636363636,1.78,1.0,0.744677272727,0.75,2.85,,,,,,94.169883728
7,Nova Scotia,2014-08,2016A000212,"Index, 201612=100",units,97.9,98.3,98.0,,,,,Dollars,unit,Average expenditure per household,105.75,627.25,1032.83,7.0,330.83,1070.42,241.17,1177.5,5875.08,Persons,unit,18676.0,67050.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",284.96667,235.95,310.71667,49.016666,475.56668,25.766666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.016666,64.11667,9.533334,Number,unit,"Total of all violations-Rate per 100,000 population",519.06,Percent,unit,1.5,Cents per litre,units,,132.0,,141.100006104,,132.5,,,,3.14,1.078,1.1025,3.75,1.511,4.79,1.6865,2.062,1.25,1.00018,1.0,3.0,,,,,,97.8737182617
8,Nova Scotia,2018-02,2016A000212,"Index, 201612=100",units,101.3,99.9,101.0,,,,,,,,,,,,,,,,,Persons,unit,19510.0,25553.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",290.73334,242.76666,314.28333,47.95,481.91666,23.55,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.85,64.566666,8.9,,,,,Percent,unit,1.9,Cents per litre,units,,117.699996948,,123.0,,114.099998474,,,,3.34,1.81368421053,1.94052631579,4.15,2.09526315789,5.14,2.19684210526,2.32421052632,1.5,1.23794736842,1.25,3.45,,,,,,100.724777222
9,Quebec,1989-11,2016A000224,"Index, 201612=100",units,54.2,48.1,52.5,,,,,,,,,,,,,,,,,Persons,unit,495710.0,771882.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1988.7,1706.1333,2193.4167,282.56668,3336.6667,204.71666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",55.516666,61.5,9.616667,,,,,Percent,unit,,Cents per litre,units,,,,,57.5499992371,,,,,12.75,,,,,11.75,,,,,,13.5,-0.9,-8.3,-4.6,16.5,52.7,52.4674072266
